1946	08	22	AL	ME	5	0	F		19	1619	1671	−	−	39	−
1946	10	07	AL	YU	2	3	BLK		-23	1596	1691	−4	+6	43	24
1946	10	09	AL	BG	3	1	BLK		13	1609	1462	+2	0	41	58
1946	10	13	AL	RO	1	0	BLK		13	1622	1561	+2	−2	39	47
1947	05	25	AL	RO	0	4	BCE		-54	1568	1615	−6	+5	44	39
1947	06	15	BG	AL	2	0	BCE		29	1505	1539	+3	−4	54	47
1947	08	20	HU	AL	3	0	BCE		4	1923	1535	0	−1	6	49
1947	09	14	AL	YU	2	4	BCE		-26	1509	1713	−4	+6	53	19
1948	05	02	RO	AL	0	1	BCE		-29	1552	1538	−5	+5	47	49
1948	05	23	AL	HU	0	0	BCE		14	1552	1909	+2	0	47	5
1948	06	27	YU	AL	0	0	BCE		-13	1713	1565	−2	+4	21	44
1949	10	23	RO	AL	1	1	F		-3	1573	1568	0	0	42	46
1949	11	06	PL	AL	2	1	F		8	1551	1560	0	−1	49	47
1949	11	17	BG	AL	0	0	F		-2	1526	1562	0	0	53	47
1949	11	29	AL	RO	1	4	F		-22	1540	1595	−4	+3	51	39
1950	05	01	AL	PL	0	0	F		-3	1537	1554	−1	0	51	47
1950	06	04	AL	BG	2	1	F		7	1544	1519	+3	−1	49	55
1950	09	17	CS	AL	3	0	F		6	1736	1538	+3	−3	17	52
1950	09	24	HU	AL	12	0	F		3	1939	1535	−1	0	7	52
1950	10	08	RO	AL	6	0	F		12	1610	1523	+1	−1	37	53
1952	11	29	AL	CS	3	2	F		12	1535	1699	+2	−2	51	24
1952	12	07	AL	CS	2	1	F		12	1547	1687	+1	−1	50	25
1953	11	29	AL	PL	2	0	F		11	1558	1538	+4	−3	48	53
1953	12	06	AL	PL	2	0	F		10	1568	1528	+1	−1	47	54
1956	11	00	AL	CN	4	1	F		11	1579	1520	+1	−1	49	63
1956	11	02	AL	CN	5	1	F		11	1590	1509	+1	−3	48	66
1957	09	15	CN	AL	3	2	F		10	1515	1580	+5	−1	60	48
1958	05	01	AL	DD	1	1	F		-5	1575	1484	0	0	50	71
1963	06	02	AL	BG	0	1	OQ		-15	1560	1772	−3	+3	57	21
1963	06	16	BG	AL	1	0	OQ		6	1778	1554	0	0	21	58
1963	06	29	DK	AL	4	0	EQ		17	1689	1537	+1	−4	33	62
1963	10	30	AL	DK	1	0	EQ		24	1561	1690	+5	−7	56	33
1964	05	24	NL	AL	2	0	WQ		16	1658	1545	+3	−4	37	58
1964	10	25	AL	NL	0	2	WQ		-29	1516	1681	−10	+6	69	32
1965	04	11	AL	CH	0	2	WQ		-33	1483	1609	−9	+6	75	45
1965	05	02	CH	AL	1	0	WQ		9	1618	1474	+1	0	45	75
1965	05	07	EI	AL	4	1	WQ		13	1642	1461	+4	−5	36	80
1965	11	24	AL	EI	1	1	WQ		6	1467	1660	+2	−1	78	36
1967	04	08	WG	AL	6	0	EQ		2	2048	1465	0	0	2	76
1967	05	14	AL	YU	0	2	EQ		-12	1453	1824	−7	+1	82	16
1967	11	12	YU	AL	4	0	EQ		5	1829	1448	0	0	15	80
1967	12	17	AL	WG	0	0	EQ		17	1465	2001	+5	0	75	2
1970	10	14	PL	AL	3	0	EQ		5	1815	1460	0	−3	15	77
1970	12	13	TR	AL	2	1	EQ		7	1645	1453	+2	−2	41	78
1971	02	17	AL	WG	0	1	EQ		-2	1451	2035	−1	0	79	3
1971	04	18	RO	AL	2	1	OQ		3	1797	1448	0	0	17	79
1971	05	12	AL	PL	1	1	EQ		13	1461	1819	+5	0	74	14
1971	05	26	AL	RO	1	2	OQ		-8	1453	1808	−5	+1	79	17
1971	06	12	WG	AL	2	0	EQ		1	2047	1452	0	0	2	78
1971	11	14	AL	TR	3	0	EQ		41	1493	1571	+9	−9	67	56
1972	06	21	FI	AL	1	0	WQ		21	1402	1472	+7	−3	90	69
1972	10	29	RO	AL	2	0	WQ		5	1787	1467	+1	−2	23	70
1973	04	08	DD	AL	2	0	WQ		3	1872	1464	0	0	12	70
1973	05	06	AL	RO	1	4	WQ		-16	1448	1797	−5	+2	74	21
1973	10	10	AL	FI	1	0	WQ		13	1461	1407	+5	−1	72	86
1973	11	03	AL	DD	1	4	WQ		-9	1452	1898	−3	+2	76	8
1973	11	07	AL	CN	1	1	F		3	1455	1649	0	−2	75	39
1976	10	10	AL	DZ	3	0	F		17	1472	1522	+7	−3	74	60
1980	09	03	AL	FI	2	0	WQ		21	1493	1439	+8	−3	71	85
1980	10	19	BG	AL	2	1	WQ		6	1685	1487	+1	−1	33	76
1980	11	15	AT	AL	5	0	WQ		3	1926	1484	0	0	12	74
1980	12	06	AL	AT	0	1	WQ		-5	1479	1931	−2	+1	78	11
1981	04	01	AL	WG	0	2	WQ		-4	1475	2060	0	0	75	1
1981	09	02	FI	AL	2	1	WQ		16	1458	1459	+4	0	78	77
1981	10	14	AL	BG	0	2	WQ		-17	1442	1743	−6	+1	84	28
1981	11	18	WG	AL	8	0	WQ		1	2106	1441	0	0	1	85
1982	09	22	AT	AL	5	0	EQ		3	1893	1438	0	0	10	85
1982	10	27	TR	AL	1	0	EQ		10	1528	1428	+2	−2	63	87
1982	12	15	AL	EI	0	0	EQ		12	1440	1769	+1	0	85	22
1983	03	30	AL	WG	1	2	EQ		-3	1437	2001	0	+1	85	4
1983	04	27	EI	AL	1	0	EQ		3	1777	1434	+1	0	21	85
1983	05	11	AL	TR	1	1	EQ		-2	1432	1508	0	−1	85	71
1983	06	08	AL	AT	1	2	EQ		-4	1428	1914	−2	0	88	10
1983	11	20	WG	AL	2	1	EQ		1	1996	1427	0	0	3	88
1984	10	17	BE	AL	3	1	WQ		3	1860	1424	0	0	15	87
1984	10	31	PL	AL	2	2	WQ		-19	1894	1443	−2	+2	8	85
1984	12	22	AL	BE	2	0	WQ		51	1494	1801	+12	−7	71	21
1985	02	27	GR	AL	2	0	WQ		12	1646	1482	+2	−6	39	78
1985	03	28	AL	TR	0	0	F		-1	1481	1532	0	0	78	62
1985	05	30	AL	PL	0	1	WQ		-7	1474	1852	0	+2	77	13
1985	10	30	AL	GR	1	1	WQ		2	1476	1600	0	−2	80	50
1986	10	15	AT	AL	3	0	EQ		8	1740	1468	+2	−1	29	77
1986	12	03	AL	ES	1	2	EQ		-3	1465	1995	0	+1	76	3
