1985	10	00	AI	VG	0	1	LIT		-7	593	907	−	−	196	173
1990	03	26	AI	MF	0	4	CRQ		-9	584	1042	0	+1	199	164
1990	03	28	VG	AI	6	0	CRQ	MF	11	919	573	+1	0	177	199
1991	05	14	AI	MS	1	1	FCQ	LC	3	576	619	0	0	200	196
1991	05	16	LC	AI	6	0	FCQ		1	1290	575	+1	0	119	200
1992	05	02	AI	CU	0	3	CBQ		-1	574	1490	0	0	209	76
1992	05	09	CU	AI	5	0	CBQ		0	1490	574	0	0	76	209
1993	04	04	AI	AG	0	4	FCQ		-4	570	1200	0	+1	216	152
1993	04	06	AI	SX	0	1	FCQ		-6	564	976	−1	0	217	190
1994	03	04	GP	AI	9	0	CBQ	VC	1	1311	563	0	0	125	219
1994	03	06	VC	AI	2	0	CBQ		1	1285	562	0	0	134	219
1995	03	26	MS	AI	3	2	FCQ		12	622	550	+2	0	214	218
1995	04	02	AI	MS	0	1	FCQ		-22	528	644	−1	0	219	214
1996	03	27	KN	AI	8	0	CBQ		2	1139	526	0	0	165	219
1996	03	29	SX	AI	4	0	CBQ	KN	5	974	521	0	0	191	219
1997	04	02	SX	AI	3	0	FCQ	DM	5	966	516	0	0	194	221
1997	04	04	VG	AI	4	1	FCQ	DM	10	829	506	+2	0	204	221
1997	04	06	DM	AI	5	0	FCQ		1	1193	505	+1	0	157	221
1998	04	15	GD	AI	14	1	FCQ	AG	1	1300	504	0	0	131	222
1998	04	17	AG	AI	7	0	FCQ		2	1112	502	0	0	170	222
1998	04	19	GY	AI	14	0	FCQ	AG	5	1067	497	+1	0	177	222
2000	02	25	VG	AI	3	4	F		-19	840	516	−1	0	202	224
2000	02	27	VG	AI	5	0	F		3	843	513	0	0	202	224
2000	03	05	AI	BS	1	3	WQ		-13	500	845	0	+1	224	202
2000	03	19	BS	AI	2	1	WQ		3	848	497	0	0	202	224
2001	02	08	AI	MS	4	1	FCQ	MF	45	542	558	0	−3	225	224
2001	02	10	MF	AI	3	1	FCQ		1	1105	541	0	0	172	225
2002	06	06	MF	AI	2	1	F		0	1086	541	0	0	178	227
2002	06	23	MF	AI	1	0	F		0	1086	541	0	0	178	227
2002	07	06	VG	AI	2	1	F		2	870	539	0	0	203	227
2004	03	19	DO	AI	0	0	WQ		-19	1085	558	−2	+1	174	228
2004	03	21	DO	AI	6	0	WQ		2	1087	556	0	0	174	228
2004	12	11	AI	EU	0	2	F		-12	544	739	0	+1	230	211
2006	09	20	AG	AI	5	3	FCQ		1	1112	543	+1	0	172	230
2006	09	22	KN	AI	6	1	FCQ	AG	1	1255	542	0	0	139	230
2006	09	24	BB	AI	7	1	FCQ	AG	1	1304	541	0	0	128	230
2008	02	06	SV	AI	12	0	WQ		0	1392	541	−1	0	108	231
2008	03	26	SV	AI	4	0	WQ	US	1	1386	540	−1	0	110	231
2008	09	17	VC	AI	3	1	FBQ	MQ	1	1261	539	0	0	141	231
2008	09	19	MQ	AI	3	1	FBQ		0	1392	539	0	0	110	231
2010	08	08	AI	MF	1	3	F		-5	534	936	−1	+1	232	192
2010	09	18	VG	AI	2	1	F	MF	2	886	532	0	0	201	232
2010	10	02	PR	AI	3	1	FBQ		3	979	529	0	0	187	233
2010	10	04	KY	AI	4	1	FBQ	PR	5	978	524	+1	0	188	233
2010	10	06	AI	MF	2	1	FBQ	PR	36	560	892	+1	−5	232	199
2011	06	19	AI	VI	0	0	F		0	560	671	0	0	231	221
2011	07	08	DO	AI	2	0	WQ		2	1046	558	+1	0	179	231
2011	07	10	DO	AI	4	0	WQ		2	1048	556	0	0	179	231
2012	07	07	VG	AI	1	0	F		3	764	553	+1	0	211	231
2012	10	10	KN	AI	2	0	FBQ		1	1204	552	0	0	156	234
2012	10	12	GF	AI	4	1	FBQ	KN	2	1179	550	0	0	160	234
2012	10	14	TT	AI	10	0	FBQ	KN	0	1499	550	0	0	87	234
2014	09	03	AG	AI	6	0	FBQ		1	1266	549	0	0	141	234
2014	09	05	VC	AI	4	0	FBQ	AG	2	1179	547	+1	0	162	234
2014	09	07	DO	AI	10	0	FBQ	AG	2	1220	545	+1	0	153	234
2015	02	28	AI	VG	1	0	F		10	555	623	0	−2	236	231
2015	03	01	AI	VG	3	1	F		14	569	609	+1	−1	235	232
2015	03	23	NI	AI	5	0	WQ		2	1108	567	0	0	175	236
2015	03	29	AI	NI	0	3	WQ		-5	562	1113	−1	0	237	175
2016	03	13	SX	AI	2	0	F		2	925	560	0	−1	199	236
2016	03	22	GY	AI	7	0	FBQ		1	1233	559	0	0	151	236
2016	03	26	AI	PR	0	4	FBQ		-7	552	1068	−1	0	237	184
2018	07	27	BL	AI	1	2	F		-17	713	569	−1	+1	217	235
2018	07	28	MF	AI	5	1	F	BL	7	847	562	+2	−1	204	236
2018	08	22	SX	AI	1	1	F		-8	835	570	0	+1	206	235
2018	08	26	AI	MF	1	2	F		-5	565	852	0	+1	235	203
2018	09	07	AI	GF	0	5	CLQ		-2	563	1347	−1	0	236	117
2018	10	14	NI	AI	6	0	CLQ	CR	1	1301	562	0	0	134	235
2018	11	18	BS	AI	1	1	CLQ		-16	852	578	0	+2	202	233
2019	03	10	AI	MF	2	1	F		14	592	813	+1	0	232	205
2019	03	22	AI	VI	0	3	CLQ		-33	559	748	−4	0	236	216
2019	08	18	SX	AI	2	0	F		3	827	556	0	0	206	236
2019	09	05	GT	AI	10	0	CLC		0	1490	556	0	0	86	236
2019	10	12	AI	GT	0	5	CLC		-1	555	1498	0	+1	236	82
2019	10	15	AI	PR	2	3	CLC		-6	549	973	0	0	236	191
2019	11	10	TT	AI	15	0	F		0	1355	549	0	0	118	236
2019	11	19	PR	AI	3	0	CLC		3	974	546	0	0	191	236
2021	03	21	AI	VI	0	0	F	US	4	550	702	0	0	236	218
2021	03	27	DO	AI	6	0	WQ	US	2	1184	548	0	0	164	236
2021	03	30	BB	AI	1	0	WQ	DO	2	1110	546	−1	0	179	236
2021	05	23	AI	VI	1	0	F	DO	14	560	678	0	−2	236	223
2021	06	02	DM	AI	3	0	WQ	DO	5	1016	555	0	0	187	236
2021	06	05	PA	AI	13	0	WQ		0	1543	555	0	0	74	236
2022	01	27	AI	VG	2	1	F	EN	11	566	590	+1	0	235	231
2022	02	13	MF	AI	1	2	F		-18	835	584	0	+3	208	232
2022	06	02	AI	DM	0	0	CLC		16	600	1031	+1	−1	231	186
2022	06	05	AI	DM	1	1	CLC	KN	17	617	1014	+1	−1	230	187
2022	06	12	LC	AI	2	0	CLC		3	1051	614	0	−1	184	231
2023	03	04	AI	MF	2	2	F		3	617	834	0	0	230	208
2023	03	24	AI	LC	1	2	CLC		-5	612	1056	0	+1	230	182
2023	09	07	AI	MF	0	6	CLC		-28	584	859	−2	+2	232	205
2023	10	12	BQ	AI	2	0	CLC		6	861	578	+1	0	204	232
2023	10	16	MF	AI	8	0	CLC	KN	14	894	564	+1	−3	201	235
2023	11	18	AI	BQ	0	3	CLC		-17	547	878	−1	0	236	203
2024	03	17	SX	AI	1	1	F		-8	869	555	0	0	203	236
2024	03	22	AI	TC	0	0	WQ		3	558	698	0	−3	236	220
2024	03	26	TC	AI	1	1	WQ		-12	686	570	−1	+1	221	235
2024	06	02	SX	AI	0	3	F		-32	837	602	−3	+2	206	233
2024	06	08	AI	SR	0	4	WQ		-2	600	1318	0	+3	233	131
2024	06	11	PR	AI	8	0	WQ		2	1148	598	+1	0	165	233
2024	08	17	AI	MF	0	0	F		6	604	934	0	0	233	194
2024	09	04	TC	AI	0	2	CLC		-44	642	648	−8	+7	229	226
2024	09	10	BZ	AI	1	0	CLC	TC	4	1057	644	+1	0	180	226
2024	10	09	BZ	AI	1	0	CLC		2	1059	642	0	0	180	226
2024	10	12	TC	AI	2	1	CLC	BZ	21	652	621	+2	−5	226	231
2025	04	17	AI	VG	0	0	F		-3	618	629	0	0	231	229
2025	04	20	AI	VG	1	0	F		7	625	622	+2	−1	229	230
2025	05	23	MF	AI	2	1	PEL		2	1020	623	0	0	185	229
2025	05	24	KN	AI	4	2	PEL	MF	3	1088	620	+1	−2	174	231
2025	05	31	GD	AI	2	0	F		1	1073	619	0	0	175	231
2025	06	04	VC	AI	6	0	WQ		2	1153	617	0	0	163	231
2025	06	07	AI	SV	0	3	WQ		-1	616	1394	0	+1	231	103
2025	11	09	MF	AI	1	2	F		-19	1002	635	−1	+5	186	227
2025	11	12	AI	BS	2	1	CFS	KY	21	656	761	0	−1	227	212
2025	11	15	KY	AI	4	0	CFS		11	806	645	0	−1	209	228
2026	03	26	AI	BS	3	1	CFS	KY	27	672	692	+2	−4	226	221
2026	03	29	VG	AI	4	0	CFS	KY	26	727	646	+3	−2	216	228
