1955	12	14	EP	PK	1	3	F		-4	996	1417	−	0	−	82
1973	07	27	BD	TH	2	2	MRD	MY	9	1005	1228	0	−2	161	131
1973	07	29	BD	RV	1	1	MRD	MY	10	1015	1282	+1	−5	160	123
1973	07	31	KW	BD	2	1	MRD	MY	3	1416	1012	0	0	88	160
1973	08	02	BD	SG	1	1	MRD	MY	7	1019	1171	0	−2	160	141
1973	08	08	BU	BD	6	0	MRD	MY	2	1666	1017	0	0	35	160
1973	08	12	TH	BD	2	0	MRD	MY	9	1262	1008	+2	−1	125	161
1973	08	13	SG	BD	0	1	FT		-25	1169	1033	−4	+3	141	158
1975	07	29	ID	BD	4	0	MRD	MY	6	1404	1027	+1	0	92	158
1975	08	02	BD	TH	1	1	MRD	MY	10	1037	1291	0	−1	158	118
1975	08	04	JP	BD	3	0	MRD	MY	5	1430	1032	+1	0	86	158
1975	08	06	MY	BD	3	0	MRD		3	1448	1029	+1	0	80	158
1975	08	08	BU	BD	7	1	MRD	MY	3	1576	1026	0	0	52	158
1975	08	10	HK	BD	9	1	MRD	MY	10	1341	1016	+4	−2	106	160
1975	08	15	KR	BD	4	0	MRD	MY	2	1613	1014	0	−1	45	161
1976	12	18	MY	BD	6	0	KNG	TH	4	1502	1010	+3	0	65	163
1978	12	12	MY	BD	1	0	ASG	TH	2	1486	1008	0	0	71	162
1978	12	14	IN	BD	3	0	ASG	TH	15	1248	993	+3	−2	123	164
1979	03	01	BD	AF	2	2	SQ		-10	983	917	0	+4	164	169
1979	03	03	BD	QA	1	1	SQ		2	985	1117	0	0	164	145
1979	03	05	BD	AF	3	2	SQ		10	995	889	0	−1	164	174
1979	03	07	BD	QA	1	3	SQ		-27	968	1159	0	+6	164	138
1979	09	08	BH	BD	2	0	PRS	KR	12	1155	956	+2	−1	140	165
1979	09	10	SD	BD	4	1	PRS	KR	2	1530	954	0	0	63	165
1979	09	14	BD	LK	3	1	PRS	KR	23	977	935	+1	−4	164	168
1979	09	16	KR	BD	9	0	PRS		0	1824	977	0	0	18	164
1980	09	16	KP	BD	3	2	AC	KW	1	1636	976	0	0	43	165
1980	09	19	SY	BD	1	0	AC	KW	6	1319	970	+1	0	106	165
1980	09	22	IR	BD	7	0	AC	KW	1	1722	969	0	0	27	165
1980	09	25	CN	BD	6	0	AC	KW	3	1562	966	+1	0	54	165
1981	03	31	BD	NP	1	1	PRG		-6	960	921	0	0	165	170
1982	02	16	BD	NP	1	1	GLT	PK	-2	958	920	0	0	166	170
1982	02	18	PK	BD	2	1	GLT		3	1261	955	0	0	121	166
1982	02	19	OM	BD	3	1	GLT	PK	32	835	923	0	−3	181	169
1982	02	23	IR	BD	9	0	GLT	PK	1	1751	922	0	0	28	169
1982	11	20	IN	BD	2	0	ASG		5	1229	917	+1	0	132	170
1982	11	22	CN	BD	1	0	ASG	IN	1	1611	916	0	0	45	170
1982	11	24	BD	MY	2	1	ASG	IN	35	951	1220	+3	−10	167	134
1983	08	29	BD	TH	0	0	PRG		11	962	1362	0	0	167	94
1983	09	05	BD	NP	4	2	PRG		14	976	906	+2	−2	165	173
1983	09	22	BD	NP	1	0	MRD	MY	12	988	889	0	−1	165	174
1983	09	28	MY	BD	1	0	MRD		3	1245	985	+1	0	126	165
1984	08	07	IR	BD	5	0	SQ	ID	1	1708	984	+1	0	31	165
1984	08	09	ID	BD	2	1	SQ		8	1140	976	+2	0	144	165
1984	08	11	SY	BD	2	1	SQ	ID	5	1314	971	0	0	110	165
1984	08	13	BD	PH	3	2	SQ	ID	15	986	862	0	−3	165	179
1984	08	15	TH	BD	2	1	SQ	ID	3	1408	983	0	0	89	165
1984	09	18	BD	BT	2	0	SAG	NP	10	993	684	+1	−1	164	187
1984	09	19	BD	MV	5	0	SAG	NP	15	1008	724	0	0	164	184
1984	09	21	NP	BD	0	5	SAG		-41	874	1049	−5	+4	176	160
1984	09	23	NP	BD	4	2	SAG		36	910	1013	+4	−3	172	163
1985	03	18	ID	BD	2	0	WQ		11	1176	1002	+1	−1	145	165
1985	03	23	TH	BD	3	0	WQ		7	1300	995	+2	0	109	165
1985	03	30	BD	IN	1	2	WQ		-14	981	1217	−1	+5	166	135
1985	04	02	BD	ID	2	1	WQ		28	1009	1194	+2	−10	164	141
1985	04	05	BD	TH	1	0	WQ		28	1037	1231	+2	−7	162	129
1985	04	12	IN	BD	2	1	WQ		7	1213	1030	+3	−2	136	164
1985	05	02	PK	BD	1	3	GLT		-37	1165	1067	−5	+5	145	159
1985	12	21	BD	PK	2	1	SAG		20	1087	1145	+3	−3	156	147
1985	12	23	BD	MV	8	0	SAG		6	1093	722	+2	0	154	186
1985	12	25	BD	IN	1	1	SAG		2	1095	1219	0	−2	154	134
1986	03	15	PK	BD	0	1	PRG		-21	1113	1116	−3	+3	152	151
1986	09	20	KW	BD	4	0	ASG	KR	5	1593	1111	+4	−1	49	152
1986	09	24	IR	BD	4	0	ASG	KR	3	1692	1108	0	0	34	151
1986	09	26	BD	NP	1	0	ASG	KR	7	1115	838	+1	0	150	182
1986	09	28	JP	BD	4	0	ASG	KR	9	1461	1106	+2	−1	79	151
1986	12	04	NP	BD	1	0	NPC		22	859	1084	0	−6	182	157
1987	02	08	BD	TH	2	2	PRG		2	1086	1231	+1	0	153	126
1987	11	21	NP	BD	1	0	SAG	IN	31	908	1055	+3	−6	175	159
1987	11	22	BD	BT	3	0	SAG	IN	6	1061	628	0	0	159	192
1987	11	25	PK	BD	1	0	SAG	IN	22	1053	1039	+5	−4	159	163
1988	02	06	BD	IN	0	0	SQ	AE	8	1047	1183	+3	−1	160	142
1988	02	08	CN	BD	4	0	SQ	AE	3	1595	1044	+1	−1	50	161
1988	02	12	BD	TH	1	1	SQ	AE	12	1056	1266	+2	−4	159	119
1988	02	14	BD	NY	0	0	SQ	AE	-8	1048	920	−1	+2	160	174
1988	02	17	AE	BD	4	0	SQ		4	1435	1044	+1	−1	81	161
1989	02	19	TH	BD	1	0	WQ		5	1269	1039	0	−1	118	162
1989	02	23	CN	BD	2	0	WQ		1	1578	1038	+1	0	50	162
1989	02	27	BD	IR	1	2	WQ		-2	1036	1612	0	0	162	46
1989	03	04	BD	CN	0	2	WQ		-4	1032	1597	0	0	162	47
1989	03	08	BD	TH	3	1	WQ		39	1071	1200	+2	−10	160	135
1989	03	17	IR	BD	1	0	WQ		1	1613	1070	0	0	46	160
1989	10	21	BD	LK	3	0	SAG	PK	21	1091	906	+4	−3	157	178
1989	10	23	BD	IN	1	1	SAG	PK	2	1093	1118	0	0	157	152
1989	10	26	PK	BD	1	0	SAG		20	1017	1073	+4	−4	165	161
1990	09	24	SA	BD	4	0	ASG	CN	4	1577	1069	−1	0	52	164
1990	09	26	JP	BD	3	0	ASG	CN	10	1394	1059	+2	0	92	164
1991	12	24	PK	BD	1	0	SAG	LK	23	1027	1036	+2	−2	178	175
1991	12	26	BD	IN	2	1	SAG	LK	27	1063	1134	+3	−3	172	158
1991	12	28	BD	NP	2	0	SAG	LK	14	1077	842	+1	−1	171	195
1992	06	19	KR	BD	6	0	SQ	TH	2	1715	1075	+1	0	31	176
1992	06	23	TH	BD	1	0	SQ		4	1368	1071	+1	0	109	176
1993	04	11	JP	BD	8	0	WQ		3	1552	1068	+1	−1	64	181
1993	04	13	BD	LK	1	0	WQ	JP	9	1077	845	+2	−1	179	202
1993	04	15	AE	BD	1	0	WQ	JP	3	1536	1074	0	−1	69	180
1993	04	18	TH	BD	4	1	WQ	JP	13	1342	1061	+1	−2	117	182
1993	04	30	JP	BD	4	1	WQ	AE	3	1584	1058	+1	0	59	181
1993	05	03	AE	BD	7	0	WQ		3	1527	1055	+1	0	70	181
1993	05	05	TH	BD	4	1	WQ	AE	12	1343	1043	+2	0	117	181
1993	05	07	BD	LK	3	0	WQ	AE	16	1059	822	0	−1	181	204
1993	12	10	BD	MM	3	1	F		17	1076	1182	+1	−5	180	159
1993	12	11	BD	MV	0	0	SAG		-17	1059	782	−1	0	181	207
1993	12	15	BD	NP	0	1	SAG		-34	1025	879	−2	+5	183	200
1994	09	14	IN	BD	4	2	IPC	QA	15	1167	1010	+1	−4	162	188
