1985	03	03	DM	KY	2	1	CUQ		9	1214	1091	+7	−	133	153
1987	00	00	KY	JM	1	3	F		-12	1079	1284	−4	+5	157	113
1990	03	24	KY	SX	1	1	CRQ	MF	-11	1068	874	−2	+1	163	184
1990	03	26	KY	AW	2	1	CRQ	AI	23	1091	1101	+3	−5	160	157
1990	03	30	MF	KY	5	1	CRQ		32	1074	1059	+3	−5	161	164
1990	04	01	MF	KY	3	2	CRQ		14	1088	1045	0	0	161	164
1990	05	13	KY	JM	1	2	F		-7	1038	1264	−1	+3	166	120
1991	05	10	KY	VG	2	1	FCQ	KN	13	1051	906	+2	0	166	178
1991	05	12	KN	KY	1	1	FCQ		-13	1197	1064	−4	+2	141	164
1991	05	26	JM	KY	3	2	FQC		4	1347	1060	0	−1	106	165
1991	05	28	GY	KY	2	1	FQC	JM	11	1231	1049	+2	−1	133	166
1992	04	01	MQ	KY	7	0	CBQ	SX	10	1413	1039	+3	−1	91	176
1992	04	03	SX	KY	4	2	CBQ		35	920	1004	+3	−4	188	180
1993	03	11	GY	KY	3	2	FCQ		7	1192	997	0	−2	156	187
1993	03	12	BB	KY	6	1	FCQ	GY	13	1289	984	+3	−2	130	189
1993	03	14	PR	KY	4	0	FCQ	GY	33	1062	951	+2	−3	181	192
1993	11	14	US	KY	8	1	F		1	1627	950	0	0	51	194
1994	03	02	KY	VG	5	0	CBQ		21	971	854	+3	−2	191	204
1994	03	04	KY	SX	5	0	CBQ		27	998	929	0	−1	191	194
1994	03	06	KY	JM	3	2	CBQ		36	1034	1451	+8	−7	183	90
1994	04	07	HT	KY	3	2	CBC	TT	6	1329	1028	+1	0	123	183
1994	04	09	SR	KY	2	0	CBC	TT	9	1332	1019	+2	−2	122	185
1994	04	11	KY	MQ	1	1	CBC	TT	18	1037	1490	+2	−7	183	82
1995	07	21	KY	AG	2	0	FQC		34	1071	1150	+4	−6	177	163
1995	07	23	KY	GF	1	0	FQC		24	1095	1214	+3	−7	174	150
1995	07	25	KY	VC	2	2	FQC		6	1101	1306	+1	−2	173	127
1995	07	28	KY	TT	2	9	FQC		-10	1091	1567	−2	+1	175	64
1995	07	30	KY	CU	0	3	CBC		-10	1081	1513	−2	+2	177	75
1995	10	22	KY	JM	1	5	FT		-7	1074	1520	0	0	176	75
1995	10	24	KY	TT	0	7	FT		-7	1067	1543	−4	+2	180	68
1996	04	26	KY	CU	0	4	CBQ		-9	1058	1525	−1	0	180	73
1996	05	12	KY	CU	0	1	WQ		-4	1054	1529	0	0	180	72
1996	05	14	KY	CU	0	5	WQ		-8	1046	1537	−1	+1	181	71
1998	05	06	KY	CU	2	2	FCQ		13	1059	1415	+2	−2	179	102
1998	05	10	KY	BM	2	0	FCQ		45	1104	1307	+8	−13	171	129
1998	07	22	JM	KY	4	0	FQC		2	1648	1102	0	−1	48	173
1998	07	24	HT	KY	1	0	FQC	JM	6	1411	1096	0	−1	103	174
1998	07	26	KY	AN	2	0	FQC	JM	40	1136	1179	+8	−14	166	161
1999	05	05	CU	KY	4	1	FCQ	BM	11	1443	1125	+4	−2	92	167
1999	05	07	BM	KY	4	1	FCQ		12	1312	1113	+3	−4	128	171
1999	05	09	KY	BS	4	1	FCQ	BM	13	1126	836	+4	−1	167	205
1999	09	09	BM	KY	3	1	F		5	1299	1121	+1	0	132	165
1999	09	11	BM	KY	1	0	F		3	1302	1118	0	−1	132	166
1999	09	22	KY	BS	4	0	F		4	1122	832	+1	0	165	205
1999	10	24	KY	JM	1	4	F		-4	1118	1590	0	+3	166	55
2000	02	06	KY	JM	0	0	F		8	1126	1593	0	−1	166	57
2000	02	09	KY	JM	0	1	F		-2	1124	1595	0	0	166	57
2000	03	05	CU	KY	4	0	WQ		4	1518	1120	0	0	75	166
2000	03	19	KY	CU	0	0	WQ		14	1134	1505	+2	−1	164	75
2000	08	27	KY	JM	0	6	F		-5	1129	1598	−1	0	169	60
2000	09	27	KY	TC	3	0	WUS		3	1132	766	+1	0	168	208
2001	02	25	KY	TT	0	3	F		-3	1129	1661	0	−1	168	52
2001	04	04	VG	KY	2	2	FCQ	MQ	12	889	1117	+1	−1	200	168
2001	04	06	KY	VC	1	1	FCQ	MQ	7	1124	1246	0	−1	168	144
2001	04	08	MQ	KY	1	1	FCQ		-16	1375	1140	−2	+3	114	165
2002	11	17	KY	NI	0	1	F		-18	1122	917	−6	+2	168	193
2002	11	27	KY	CU	0	5	CCQ		-17	1105	1471	−3	+8	171	84
2002	11	29	KY	DO	1	0	CCQ		15	1120	1108	+4	−2	167	169
2002	12	01	KY	MQ	0	3	CCQ		-16	1104	1442	−3	+7	170	95
2004	02	22	KY	CU	1	2	WQ		-5	1099	1540	−2	0	175	71
2004	03	27	CU	KY	3	0	WQ		3	1544	1096	+1	0	70	173
2004	11	24	BM	KY	2	1	FCQ	VC	14	1219	1082	+4	−1	151	175
2004	11	26	KY	VG	1	0	FCQ	VC	9	1091	850	0	−2	175	203
2004	11	28	VC	KY	4	0	FCQ		11	1300	1080	+1	0	130	175
2006	09	02	BS	KY	3	1	FCQ	CU	49	876	1031	+2	−4	203	183
2006	09	04	TC	KY	2	0	FCQ	CU	49	812	982	+3	−6	207	189
2006	09	06	CU	KY	7	0	FCQ		2	1548	980	+2	−1	73	190
2008	02	03	BM	KY	1	1	WQ		-11	1083	991	0	+1	175	188
2008	03	30	KY	BM	1	3	WQ		-31	960	1114	−3	+2	191	175
2008	08	27	KY	MF	3	0	FBQ		28	988	959	+5	−5	186	191
2008	08	30	KY	AG	1	1	FBQ		5	993	1169	0	0	186	164
2008	08	31	KY	BM	0	0	FBQ		3	996	1151	0	0	186	170
2008	10	11	GP	KY	7	1	FBQ		3	1465	993	0	0	92	186
2008	10	13	MQ	KY	1	0	FBQ	GP	4	1385	989	+1	0	116	186
2008	10	15	GD	KY	4	2	FBQ	GP	12	1235	977	+5	−1	147	187
2008	11	09	KY	JM	0	2	F		-1	976	1594	0	0	187	59
2009	06	28	KY	JM	1	4	F		-1	975	1635	−1	+1	188	53
2010	10	02	KY	MF	1	1	FBQ	PR	-2	973	947	0	0	189	191
2010	10	04	KY	AI	4	1	FBQ	PR	5	978	524	+1	0	188	233
2010	10	06	PR	KY	2	0	FBQ		20	1018	958	0	−2	187	190
2011	09	02	SR	KY	1	0	WQ		4	1268	954	+1	0	138	192
2011	09	06	KY	SV	1	4	WQ		-4	950	1563	0	+1	192	68
2011	10	07	KY	SR	0	1	WQ		-9	941	1269	0	0	192	140
2011	10	11	SV	KY	4	0	WQ		1	1568	940	−2	0	70	192
2011	11	11	DO	KY	4	0	WQ		13	1131	927	+2	0	171	192
2011	11	14	KY	DO	1	1	WQ		6	933	1125	0	−1	192	172
2015	03	25	BZ	KY	0	0	WQ		-14	1124	947	−2	+1	172	197
2015	03	29	KY	BZ	1	1	WQ		4	951	1120	+1	0	196	173
2015	05	13	DO	KY	6	0	F		5	1224	946	+5	0	152	196
2018	09	09	JM	KY	4	0	CLQ		1	1562	945	+1	−1	67	198
2018	09	29	CU	KY	5	0	F		3	1306	942	+1	0	133	198
2018	10	12	DO	KY	3	0	CLQ		5	1277	937	+1	−1	141	199
2018	11	17	KY	LC	0	0	CLQ		6	943	1135	+1	0	197	172
2019	03	22	KY	MS	1	2	CLQ		-34	909	765	−2	+2	199	213
2019	05	29	KY	CU	0	0	F		7	916	1326	0	−5	199	129
2019	05	31	KY	CU	0	1	F		-3	913	1329	0	+1	199	128
2019	09	05	VI	KY	0	2	CLC		-24	724	937	−2	+1	217	197
2019	09	08	KY	BB	3	2	CLC		26	963	1111	+2	−5	195	178
2019	10	12	MF	KY	3	0	CLC	AI	54	809	909	+5	−6	208	198
2019	10	15	KY	MF	1	0	CLC		10	919	799	+1	−1	197	209
2019	11	16	KY	VI	1	0	CLC		6	925	725	+1	0	196	217
2019	11	19	BB	KY	3	0	CLC		12	1104	913	0	−1	180	197
2021	03	24	SR	KY	3	0	WQ		4	1317	909	0	0	130	197
2021	03	29	CA	KY	11	0	WQ	US	2	1612	907	0	−1	55	198
2021	06	02	AW	KY	3	1	WQ	US	32	912	875	+6	−6	197	204
2021	06	08	BM	KY	1	1	WQ	US	-16	1242	891	−4	+1	147	203
2022	06	03	VG	KY	1	1	CLC		10	600	881	+1	−1	231	202
2022	06	06	KY	VG	1	1	CLC		-16	865	616	−2	0	204	232
2022	06	09	KY	PR	0	3	CLC		-26	839	1084	−3	+3	207	179
2023	03	26	PR	KY	5	1	CLC		9	1102	830	+1	−1	176	208
2023	09	07	VI	KY	2	2	CLC		5	639	825	0	+1	227	207
2023	09	11	KY	AW	1	2	CLC		-19	806	969	−3	+2	210	191
2023	10	17	KY	VI	2	1	CLC		7	813	627	0	−1	209	229
2023	11	20	AW	KY	5	1	CLC		13	1001	800	+1	0	188	209
