1956	00	00	UH	CM	5	1	F		17	1417	1442	−	−6	83	79
1960	04	14	MI	CF	4	3	JCM	MG	12	1571	1405	+2	−5	52	92
1961	12	25	CF	LR	1	1	JAM	CI	-1	1404	1387	0	+2	93	97
1961	12	26	CF	UV	1	1	JAM	CI	-2	1402	1377	0	+1	93	99
1961	12	27	CI	CF	11	0	JAM		14	1647	1388	0	−4	41	97
1962	12	24	CF	CM	1	4	TRP		-25	1363	1524	−5	+5	102	65
1962	12	27	CF	MG	4	1	TRP		21	1384	1366	+4	−6	98	102
1964	07	12	CJ	CF	1	0	TRP	CM	8	1582	1376	+1	−3	51	103
1964	07	14	CM	CF	1	1	TRP		-8	1472	1384	0	+3	75	100
1965	04	16	CD	CF	8	2	AGQ		11	1624	1373	+2	−5	43	102
1966	08	07	CD	CF	5	0	F		6	1593	1367	+1	−1	48	100
1966	11	30	CF	GA	1	3	FT		-28	1339	1407	−6	+4	106	95
1966	12	03	CF	CD	1	4	FT		-15	1324	1613	−3	+4	109	43
1972	05	01	CF	TD	1	0	F		4	1328	1193	0	0	108	137
1972	07	14	CF	CM	4	3	AQC	CG	34	1362	1593	+8	−5	102	49
1972	07	16	TD	CF	2	1	AGQ	CG	29	1219	1333	+6	−8	131	110
1972	07	18	CF	GA	3	1	AQC	CG	31	1364	1312	+8	−5	102	112
1972	07	20	CG	CF	2	0	AQC		5	1683	1359	+1	−1	35	103
1973	04	08	CF	CI	4	2	FQ		46	1405	1616	+13	−2	90	43
1973	04	22	CI	CF	2	1	FQ		6	1622	1399	+1	−4	43	94
1973	07	29	CI	CF	5	1	FQ	NG	18	1619	1381	+4	−6	43	99
1976	06	30	CG	CF	2	1	CFG	GA	13	1530	1368	+3	−5	57	103
1976	07	02	CF	TD	1	0	CFG	GA	13	1381	1224	+5	0	98	127
1976	07	04	CF	ST	2	1	CFG	GA	6	1387	1080	+3	0	95	154
1976	07	09	CM	CF	3	0	CFG	GA	17	1601	1370	+1	−7	49	102
1976	07	11	GA	CF	3	1	CFG		25	1354	1345	+4	−6	107	108
1984	12	12	CG	CF	2	1	UDE		7	1515	1338	+2	−1	65	99
1984	12	14	CF	GQ	1	1	UDE	CG	-14	1324	1066	−10	+1	109	157
1984	12	17	CM	CF	7	1	UDE	CG	13	1627	1311	+1	−2	43	111
1984	12	19	CF	GA	2	2	UDE	CG	1	1312	1336	0	0	111	99
1985	12	09	CG	CF	4	1	UDE	GA	20	1491	1292	+5	−4	74	111
1985	12	11	GA	CF	4	0	UDE		21	1380	1271	+4	−10	93	121
1986	10	05	CF	CG	1	2	FQ		-14	1257	1502	−6	+3	124	72
1986	10	19	CG	CF	5	1	FQ		9	1511	1248	+2	−1	71	125
1986	12	12	CG	CF	3	1	UDE	GQ	12	1498	1236	+2	−1	73	126
1986	12	14	GA	CF	1	0	UDE	GQ	9	1463	1227	+1	−2	77	128
1987	11	08	ML	CF	3	1	F		5	1403	1222	0	−1	89	132
1987	11	18	TG	CF	1	0	F		3	1398	1219	0	−1	90	133
1987	12	07	TD	CF	2	1	UDE		13	1261	1206	+3	−2	121	135
1987	12	09	CF	GA	1	1	UDE	TD	11	1217	1420	+2	−3	133	86
1988	12	02	CF	TD	2	1	UDE	CM	22	1239	1234	+9	−5	125	126
1988	12	04	CG	CF	1	0	UDE	CM	11	1428	1228	+2	−5	86	130
1988	12	06	CF	GA	0	0	UDE	CM	11	1239	1427	+5	−3	125	85
1988	12	08	CG	CF	3	0	UDE	CM	18	1440	1221	+5	−7	82	132
1989	11	21	SN	CF	3	0	F		3	1549	1218	0	−2	60	134
1989	12	02	CF	TD	1	1	UDE		-4	1214	1249	−1	+2	135	121
1989	12	04	CF	CM	1	2	UDE		-4	1210	1711	0	0	135	32
1989	12	10	CF	GA	2	0	UDE		43	1253	1425	+12	−10	122	83
1989	12	12	CF	CM	1	2	UDE		-5	1248	1702	−1	0	123	32
1990	12	11	GA	CF	1	0	UDE	CG	11	1435	1237	+5	−1	77	129
1990	12	13	CM	CF	3	0	UDE	CG	5	1671	1232	+1	−2	36	131
1990	12	17	CF	GQ	3	3	UDE	CG	-9	1223	1082	−1	+1	133	162
1996	10	06	CF	GN	2	3	FQ		-20	1203	1335	−5	+4	152	122
1999	11	07	TD	CF	1	1	UFC	GA	-2	1242	1205	−1	−1	146	151
1999	11	08	CF	TD	4	1	UFC	GA	39	1244	1203	+6	−5	145	151
1999	11	10	GA	CF	1	0	UFC		5	1476	1239	+2	−1	82	146
1999	11	11	GQ	CF	4	2	UFC	GA	44	1102	1195	+7	−8	173	154
1999	11	13	CF	ST	3	0	UFC	GA	17	1212	985	+5	−5	149	190
1999	11	14	CF	CG	4	2	UFC	GA	47	1259	1386	+7	−14	142	111
2000	04	09	CF	ZW	0	1	WQ		-14	1245	1489	−4	+3	146	81
2000	04	23	ZW	CF	3	1	WQ		7	1496	1238	+3	0	79	145
2000	07	02	CF	CD	1	1	FQ		7	1245	1450	0	−2	144	89
2000	07	16	CD	CF	2	0	FQ		8	1478	1237	+1	−1	81	145
2002	09	09	CF	MZ	1	1	FQ		-4	1233	1278	0	0	150	138
2002	10	13	BF	CF	2	1	FQ		7	1396	1226	+2	−4	110	152
2003	05	04	CG	CF	2	1	FQ		8	1383	1218	+5	0	111	151
2003	06	08	CF	CG	0	0	FQ		4	1222	1379	+1	+1	150	111
2003	06	22	MZ	CF	1	0	FQ		14	1252	1208	+3	−3	145	153
2003	07	06	CF	BF	0	3	FQ		-24	1184	1450	−4	+10	157	90
2003	12	11	CF	GA	2	0	CMC	CG	47	1231	1359	+6	−9	149	118
2005	02	03	GA	CF	4	0	CMC		13	1421	1218	+1	−1	99	149
2005	02	06	CG	CF	1	0	CMC	GA	11	1406	1207	+3	−5	101	154
2006	03	08	CF	GA	2	2	CMC	GQ	10	1217	1383	+4	0	151	104
2007	03	06	TD	CF	3	2	CMC		11	1301	1206	+5	−2	130	155
2007	03	12	CG	CF	4	1	CMC	TD	19	1397	1187	+2	−3	105	158
2007	03	15	TD	CF	1	0	CMC		10	1290	1177	0	−7	135	165
2010	09	04	MA	CF	0	0	FQ		-18	1551	1195	−5	+1	76	157
2010	10	10	CF	DZ	2	0	FQ		46	1241	1463	+12	−9	144	95
2011	03	26	TZ	CF	2	1	FQ		9	1375	1232	+1	−1	117	147
2011	05	29	TN	CF	3	0	F		3	1569	1229	+2	0	65	147
2011	06	05	CF	TZ	2	1	FQ		22	1251	1336	+4	−5	143	124
2011	08	10	MT	CF	2	1	F		8	1216	1243	+2	−1	152	144
2011	09	04	CF	MA	0	0	FQ		12	1255	1581	+4	0	141	62
2011	09	07	GQ	CF	3	0	F		15	1217	1240	+4	−4	150	145
2011	10	09	DZ	CF	2	0	FQ		8	1468	1232	+2	−2	96	146
2012	06	02	CF	BW	2	0	WQ		33	1265	1330	+5	−10	143	126
2012	06	10	ET	CF	2	0	WQ		19	1321	1246	+4	−3	128	146
2012	06	15	EG	CF	2	3	FQ		-39	1727	1285	−7	+8	33	137
2012	06	30	CF	EG	1	1	FQ		14	1299	1672	+5	−4	134	45
2012	09	08	CF	BF	1	0	FQ		22	1321	1416	+8	−3	125	105
2012	10	14	BF	CF	3	1	FQ		15	1431	1306	+2	−6	104	134
2013	03	23	ZA	CF	2	0	WQ		7	1558	1299	+2	−2	70	136
2013	06	08	ZA	CF	3	0	WQ	CM	13	1575	1286	+3	0	66	138
2013	06	15	BW	CF	3	2	WQ		15	1283	1271	+5	−4	137	142
2013	08	14	LY	CF	0	0	F		-8	1543	1279	−4	+3	76	139
2013	09	07	ET	CF	2	1	WQ	CG	14	1396	1265	+2	−1	109	140
2014	05	18	CF	GW	0	0	FQ	CG	-3	1262	1218	−1	+1	142	152
2014	05	31	GW	CF	3	1	FQ		25	1243	1237	+7	−7	146	149
2014	10	09	MA	CF	4	0	F		4	1530	1233	0	0	79	147
2015	06	13	AO	CF	4	0	FQ		11	1446	1222	+2	−5	101	153
2015	09	06	CF	CD	2	0	FQ		44	1266	1453	+15	−12	139	96
2015	10	10	MG	CF	3	0	WQ		26	1279	1240	+4	−8	137	148
2015	10	13	MG	CF	2	2	WQ		-8	1271	1248	−1	+1	138	146
2016	03	24	MG	CF	1	1	FQ		-7	1272	1255	−2	+2	139	143
2016	03	28	CF	MG	2	1	FQ		15	1270	1257	+9	−6	137	143
2016	06	05	CF	AO	3	1	FQ		31	1301	1348	+13	−5	128	119
2016	09	04	CD	CF	4	1	FQ		9	1541	1292	+4	−2	72	133
2017	03	27	GM	CF	2	1	F	MA	10	1286	1282	+6	−4	134	137
2017	06	11	CF	RW	2	1	FQ		16	1298	1292	+6	−4	133	135
2017	11	14	DZ	CF	3	0	F		4	1535	1294	0	−1	73	132
2018	03	23	GM	CF	1	1	F		-2	1272	1296	−2	+1	141	130
2018	03	27	CF	KE	3	2	F	MA	13	1309	1373	+2	−6	129	117
2018	05	27	NE	CF	3	3	FT		-4	1289	1313	−2	+4	136	126
2018	05	30	CF	UG	1	0	FT	NE	21	1334	1432	+4	−4	122	97
2018	09	09	GN	CF	1	0	FQ		9	1459	1325	+2	−1	91	125
2018	10	12	CI	CF	4	0	FQ		7	1615	1318	+1	−3	54	128
2018	10	16	CF	CI	0	0	FQ		10	1328	1605	+2	−2	125	56
2018	11	18	RW	CF	2	2	FQ		-2	1267	1330	−1	+1	142	125
2019	03	24	CF	GN	0	0	FQ		2	1332	1463	0	+1	127	91
2019	10	13	NE	CF	0	2	F		-18	1292	1350	−6	+6	137	120
2019	11	13	CF	BI	2	0	FQ		18	1368	1282	+6	−9	114	140
2019	11	19	MR	CF	2	0	FQ		22	1380	1346	+7	−4	110	118
2020	11	13	MA	CF	4	1	FQ		6	1673	1340	0	−1	44	120
2020	11	17	CF	MA	0	2	FQ	CM	-8	1332	1681	−3	+3	124	41
2021	03	26	BI	CF	2	2	FQ		-1	1249	1333	0	+1	147	124
2021	03	30	CF	MR	0	1	FQ		-25	1308	1374	−7	+12	132	109
2021	06	04	RW	CF	2	0	F		11	1311	1297	+1	−1	132	133
2021	06	07	RW	CF	5	0	F		14	1325	1283	+4	−4	128	137
2021	09	01	CV	CF	1	1	WQ	CM	-8	1430	1291	−2	+3	96	135
2021	09	06	LR	CF	1	0	WQ	CM	17	1366	1274	+5	−4	115	139
2021	10	07	NG	CF	0	1	WQ		-38	1641	1312	−8	+9	52	130
2021	10	10	NG	CF	2	0	WQ	CM	8	1649	1304	+1	−2	51	132
2021	11	13	CV	CF	2	1	WQ		8	1453	1296	+2	−1	89	133
2021	11	16	LR	CF	3	1	WQ	MA	27	1354	1269	+9	−7	114	140
2022	03	23	TZ	CF	3	1	FT		14	1321	1255	+5	−5	126	145
2022	03	26	CF	SD	0	0	FT	TZ	2	1257	1298	0	+1	145	135
2022	06	01	AO	CF	2	1	FQ		9	1388	1248	+2	−2	104	147
2022	06	05	CF	GH	1	1	FQ	AO	14	1262	1533	+5	−3	144	75
2023	03	23	MG	CF	0	3	FQ		-48	1249	1310	−9	+10	147	134
2023	03	27	CF	MG	2	0	FQ	CM	25	1335	1224	+11	−7	124	154
2023	06	11	CF	UG	1	1	F	CM	2	1337	1389	0	0	122	108
2023	06	17	AO	CF	2	1	FQ	CM	16	1421	1321	+5	−6	99	128
2023	09	07	GH	CF	2	1	FQ		4	1584	1317	+2	−1	63	130
2023	11	17	KM	CF	4	2	WQ		31	1242	1286	+6	−11	154	143
2023	11	20	ML	CF	1	1	WQ		-17	1614	1303	−3	+5	57	138
2024	03	22	CF	BT	6	0	FFS	LK	1	1304	623	0	0	137	229
2024	03	25	CF	PG	4	0	FFS	LK	13	1317	1083	+4	−3	134	175
2024	06	05	CF	TD	1	0	WQ	MA	13	1330	1174	+6	−1	128	164
2024	06	10	GH	CF	4	3	WQ		6	1538	1324	0	−3	75	128
2024	09	05	CF	LS	3	1	FQ	MA	22	1346	1205	+6	−4	125	159
2024	09	10	GA	CF	2	0	FQ		15	1445	1331	+3	−9	93	130
2024	10	12	MA	CF	5	0	FQ		3	1782	1328	0	0	27	127
2024	10	15	MA	CF	4	0	FQ		3	1785	1325	+2	−4	26	130
2024	11	14	LS	CF	1	0	FQ	ZA	27	1232	1298	+5	−7	154	136
2024	11	18	GA	CF	1	0	FQ	ZA	13	1442	1285	+5	−4	90	140
2025	03	19	MG	CF	4	1	WQ	MA	35	1322	1250	+9	−11	130	152
2025	03	24	CF	ML	0	0	WQ	MA	16	1266	1612	+4	−1	149	56
2025	06	06	CF	MR	2	1	F	MA	12	1278	1334	+3	−4	145	127
2025	09	04	MG	CF	2	0	WQ	MA	29	1313	1249	+8	−8	135	153
2025	09	07	KM	CF	2	0	WQ	MA	17	1423	1232	+3	−1	97	153
2025	10	08	GH	CF	5	0	WQ	MA	15	1504	1217	+1	−1	81	154
2025	10	12	TD	CF	2	3	WQ		-21	1116	1238	−6	+1	173	152
2026	06	05	CF	TG	1	1	F	MA	3	1241	1356	+1	−1	151	116
2026	06	09	AO	CF	3	0	F	MA	5	1542	1236	+1	−2	74	153
