1960	04	14	UV	GA	5	4	JCM	MG	20	1420	1380	−	−	87	99
1961	12	25	SN	GA	3	2	JAM	CI	9	1599	1371	0	−1	45	101
1961	12	26	CM	GA	6	0	JAM	CI	26	1541	1345	+4	−3	58	104
1962	07	14	GA	CB	3	1	TRP		31	1376	1559	+6	−5	99	51
1962	08	20	GA	CM	1	1	F		1	1377	1509	0	0	100	66
1962	09	16	CB	GA	3	1	TRP		7	1566	1370	0	−1	52	102
1963	04	12	GA	UV	4	0	JAM	SN	42	1412	1367	+10	−10	90	101
1963	04	16	GA	GM	2	2	JAM	SN	-7	1405	1293	−2	+3	92	113
1964	07	12	GA	TD	2	1	TRP	CM	8	1413	1227	+4	−1	88	125
1964	07	14	CB	GA	2	1	TRP	CM	8	1611	1405	+2	−4	44	92
1964	07	17	CJ	GA	1	0	TRP	CM	8	1590	1397	+3	−5	49	97
1965	08	28	GA	NG	2	2	IND		1	1398	1510	0	0	95	68
1965	08	29	GA	NG	1	4	IND		-25	1373	1535	−6	+7	101	61
1966	00	00	GA	GQ	5	2	F		4	1377	1096	+2	−	97	147
1966	00	00	GA	GQ	4	3	F		2	1379	1094	+2	−	97	147
1966	11	30	CF	GA	1	3	FT		-28	1340	1407	−6	+4	106	95
1966	12	02	CD	GA	4	3	FT	CF	8	1598	1399	+1	−1	47	96
1967	01	04	GA	CD	1	0	F		13	1412	1610	+2	−3	94	44
1967	03	24	GA	CI	2	2	F		5	1417	1682	+1	0	92	33
1967	03	26	GA	CI	2	2	F		4	1421	1678	+1	0	91	33
1967	03	28	GA	CI	0	3	F		-10	1411	1688	−3	0	94	33
1967	06	18	GA	GN	0	0	OQ		5	1416	1594	+1	0	93	47
1967	07	09	GN	GA	6	1	OQ		13	1607	1403	+2	−2	44	95
1969	02	03	CG	GA	2	0	F		6	1566	1397	+2	0	57	96
1969	08	24	DH	GA	1	0	F		6	1431	1391	+1	0	85	95
1970	07	11	GA	CM	1	1	F		2	1393	1577	0	−1	94	56
1970	08	01	CM	GA	3	0	F		6	1583	1387	+2	0	53	94
1970	11	08	GA	CI	1	2	FQ		-11	1376	1658	−1	+2	95	38
1970	11	22	CI	GA	1	0	FQ		4	1662	1372	0	−3	39	98
1971	00	00	CI	GA	2	0	F		3	1665	1369	0	0	39	98
1971	01	02	DH	GA	1	0	F		6	1432	1363	0	−2	83	100
1971	05	30	GA	CM	2	3	OQ		-14	1349	1583	−3	+6	103	51
1972	07	16	CG	GA	3	0	AQC		6	1678	1343	+1	+1	35	108
1972	07	18	CF	GA	3	1	AQC	CG	31	1365	1312	+8	−4	102	112
1972	07	20	CM	GA	4	0	AQC	CG	12	1612	1300	+2	−2	46	114
1972	07	22	GA	TD	1	0	AGQ	CG	15	1315	1197	+3	−5	111	137
1976	01	25	TD	GA	4	0	F		20	1217	1295	+5	−4	131	116
1976	02	22	GA	TD	0	1	F		-15	1280	1232	−3	+3	119	128
1976	03	28	GA	CI	0	3	F		-12	1268	1514	−2	+2	121	60
1976	04	19	CI	GA	1	3	F		-26	1488	1294	−6	+4	67	116
1976	05	02	GA	ST	6	1	F		6	1300	1094	+1	−	115	154
1976	06	28	GA	BI	4	1	CFG		21	1321	1234	+3	−3	111	127
1976	07	01	GA	ZR	1	1	F		5	1326	1602	0	0	111	48
1976	07	05	GA	RW	3	0	CFG		8	1334	1059	+1	0	110	156
1976	07	07	GA	CM	0	0	CFG		8	1342	1583	+2	0	108	50
1976	07	09	GA	CG	0	1	CFG		-15	1327	1552	−3	+3	111	53
1976	07	11	GA	CF	3	1	CFG		25	1352	1346	+4	−6	107	108
1977	01	23	CG	GA	2	2	F		-7	1546	1359	−2	0	57	104
1977	02	05	GA	MA	0	1	F		-4	1355	1703	0	0	103	31
1977	04	06	MA	GA	5	1	F		3	1713	1352	0	−1	30	102
1977	07	17	CG	GA	3	2	FQ		7	1525	1345	+2	−1	61	103
1977	07	31	GA	CG	3	3	FQ		5	1350	1520	+1	−2	102	64
1977	12	24	GA	GQ	2	0	AGQ	CM	11	1361	1082	+3	−2	99	153
1977	12	26	GA	CG	1	0	AGQ	CM	30	1391	1518	+5	−6	94	64
1977	12	28	GA	BI	2	0	AGQ	CM	18	1409	1222	+3	0	91	129
1977	12	30	TD	GA	3	1	AGQ	CM	41	1314	1368	+8	−6	112	97
1978	02	05	GA	NG	0	1	F		-4	1364	1692	−2	0	100	33
1978	02	19	GA	UV	2	2	F		-4	1360	1323	0	+2	99	108
1979	01	10	RW	GA	2	2	F		6	1040	1354	0	−2	159	100
1979	04	08	GA	CI	2	1	F		12	1366	1510	+4	0	98	64
