1980	07	02	FO	GL	6	0	GRN	IS	15	1218	985	+3	−	130	163
1980	07	03	IS	GL	4	1	GRN		3	1363	982	0	0	97	163
1983	06	29	GL	FO	0	0	GRN		5	987	1193	0	−2	165	140
1983	07	03	GL	FO	2	3	GRN		-11	976	1204	0	+2	165	138
1984	08	03	IS	GL	1	0	GRN	FO	2	1454	974	+1	0	82	166
1984	08	05	FO	GL	1	0	GRN		4	1210	970	+1	0	138	166
1984	08	07	FO	GL	4	2	F		4	1214	966	+3	0	135	166
1989	07	09	FO	GL	3	0	IG		8	1224	958	+2	0	132	172
1991	06	25	FO	GL	3	2	IG	FI	6	1276	952	−1	−1	124	176
1993	07	06	GL	GI	5	0	IG	EN	56	1008	1044	+4	−	187	182
1995	07	16	GI	GL	0	1	IG		-27	1017	1035	−7	+5	187	182
1997	07	02	GI	GL	5	1	IG	UK	39	1056	996	+6	−5	180	188
2001	06	30	GL	TE	4	1	F	DK	5	1001	680	0	0	188	216
2001	07	12	GL	FK	4	0	IG	UK	7	1008	593	0	−	188	223
2003	06	30	GI	GL	2	0	IG	UK	26	1078	982	+4	0	178	189
2006	05	29	NS	GL	1	0	MWC	DE	3	1445	979	0	−1	96	190
2006	05	31	ZN	GL	4	2	MWC	DE	13	1214	966	+4	0	152	190
2013	07	14	BM	GL	3	0	IG		10	1196	956	+2	−1	159	194
2013	07	17	GL	FK	9	0	IG	BM	11	967	580	+1	0	193	231
2013	07	18	BM	GL	1	0	IG		5	1203	962	+3	0	154	193
2023	07	11	BM	GL	3	2	IG	UK	10	1169	952	0	0	166	192
2024	06	01	TM	GL	5	0	F	TR	7	1220	945	+2	0	158	192
