1930	07	29	FO	IS	0	1	F		-13	1287	1313	−	−	61	59
1946	07	17	IS	DK	0	3	F		-5	1308	1724	0	0	74	17
1947	07	24	IS	NO	2	4	F		-7	1301	1607	−1	+1	82	40
1948	07	02	IS	FI	2	0	F		11	1312	1291	+2	−3	83	87
1949	08	07	DK	IS	5	1	F		1	1794	1311	0	0	12	83
1951	06	29	IS	SE	4	3	F		19	1330	1914	+1	0	87	7
1951	07	26	NO	IS	3	1	F		3	1597	1327	+1	0	40	87
1953	08	09	DK	IS	4	0	F		3	1686	1324	0	−1	25	88
1953	08	13	NO	IS	3	1	F		3	1601	1321	0	0	41	87
1954	07	04	IS	NO	1	0	F		16	1337	1623	+3	−3	92	38
1954	08	24	SE	IS	3	2	F		1	1836	1336	0	0	11	92
1955	07	03	IS	DK	0	4	F		-8	1328	1659	−2	0	94	32
1955	08	25	IS	US	3	2	F		14	1342	1564	+2	−3	91	49
1956	06	29	FI	IS	2	1	F		6	1376	1336	+2	0	88	95
1957	06	02	FR	IS	8	0	WQ		2	1867	1334	+1	0	9	98
1957	06	05	BE	IS	8	3	WQ		6	1674	1328	+1	−2	31	100
1957	07	08	IS	NO	0	3	FT		-14	1314	1624	−1	+2	101	42
1957	07	10	IS	DK	2	6	FT		-15	1299	1605	−2	+1	103	46
1957	09	01	IS	FR	1	5	WQ		-5	1294	1872	−2	0	105	10
1957	09	04	IS	BE	2	5	WQ		-12	1282	1686	−3	+2	107	29
1959	06	26	IS	DK	2	4	OQ		-15	1267	1592	−3	+4	114	46
1959	07	07	IS	NO	1	0	OQ		31	1298	1552	+7	−6	107	55
1959	08	18	DK	IS	1	1	OQ		-17	1590	1315	−2	+3	45	104
1959	08	21	NO	IS	2	1	OQ		5	1557	1310	+1	0	54	104
1960	06	09	NO	IS	4	0	F		6	1502	1304	+2	−1	68	109
1960	08	03	IS	WG	0	5	F		-3	1301	1860	−1	0	110	12
1962	07	09	IS	NO	1	3	F		-12	1289	1477	−3	+2	115	75
1962	08	12	IE	IS	4	2	EQ		4	1672	1285	0	−1	32	116
1962	09	02	IS	IE	1	1	EQ		14	1299	1658	+2	−3	114	35
1964	08	10	IS	BM	4	3	F		10	1309	1390	0	−	113	99
1964	08	23	IS	FI	0	2	F		-18	1291	1356	−4	+1	117	108
1965	07	05	IS	DK	1	3	F		-6	1285	1654	−1	0	119	36
1967	08	23	DK	IS	14	2	F		6	1563	1279	0	−1	53	121
1968	07	18	IS	NO	0	4	F		-12	1267	1529	−3	0	120	65
1969	06	23	IS	BM	2	1	F		9	1276	1316	+1	−3	119	112
1969	07	21	NO	IS	2	1	F		2	1535	1274	0	−1	65	120
1969	07	24	FI	IS	3	1	F		6	1419	1268	+5	0	88	120
1969	11	11	BM	IS	3	2	F		5	1347	1263	+1	−1	104	121
1970	07	07	IS	DK	0	0	F		7	1270	1643	+1	0	122	39
1970	07	20	IS	NO	2	0	F		22	1292	1531	+4	−5	118	64
1971	05	26	NO	IS	3	1	F		4	1544	1288	0	0	63	114
1971	08	13	IS	JP	0	2	F		-8	1280	1578	−4	+2	118	55
1972	05	18	BE	IS	4	0	WQ		2	1847	1278	0	0	12	122
1972	05	22	BE	IS	4	0	WQ		2	1849	1276	+1	0	11	122
1972	07	03	IS	DK	2	5	F		-6	1270	1658	0	+2	122	38
1972	07	12	IS	FO	3	0	F		13	1283	1274	+1	−4	121	122
1972	08	03	NO	IS	4	1	WQ		12	1474	1271	+4	−1	68	122
1973	06	08	FO	IS	0	4	F		-24	1250	1295	−5	+4	128	120
1973	07	11	SE	IS	1	0	F		0	1863	1295	0	0	13	119
1973	07	17	IS	DD	1	2	F		-1	1294	1861	0	0	119	14
1973	07	19	IS	DD	0	2	F		-2	1292	1863	0	+1	119	12
1973	08	02	IS	NO	0	4	WQ		-30	1262	1496	−9	+5	126	65
1973	08	22	NL	IS	5	0	WQ		2	1826	1260	0	0	17	126
1973	08	29	NL	IS	8	1	WQ		2	1828	1258	0	0	17	126
1974	07	03	FO	IS	2	3	F		-13	1237	1271	0	+4	130	123
1974	08	19	IS	FI	2	2	F		2	1273	1424	0	−1	124	88
1974	09	08	IS	BE	0	2	EQ		-3	1270	1889	−1	+1	123	12
1974	10	09	DK	IS	2	1	F		1	1623	1269	+1	0	39	123
