1926	05	01	KE	UG	1	1	GSG		8	1308	1592	−	−	54	29
1926	05	03	KE	UG	2	1	GSG		22	1330	1570	0	−4	54	33
1928	05	06	UG	KE	4	0	GSG		7	1577	1323	+2	0	33	54
1929	12	14	KE	UG	3	5	GSG		-13	1310	1590	0	+1	57	30
1930	00	00	KE	UG	0	0	F		5	1315	1585	0	0	57	30
1930	08	19	UG	KE	5	0	GSG		6	1591	1309	+1	−1	31	59
1931	12	16	KE	UG	2	2	GSG		7	1316	1584	+1	−1	59	33
1931	12	17	KE	UG	2	1	GSG		22	1338	1562	0	−2	59	35
1932	12	14	UG	KE	13	1	GSG		12	1574	1326	+3	0	35	60
1935	05	06	UG	KE	5	1	GSG		7	1581	1319	0	0	40	63
1936	03	28	KE	UG	1	3	GSG		-13	1306	1594	−2	+2	65	37
1937	04	03	UG	KE	9	5	GSG		5	1599	1301	0	−1	37	69
1938	03	26	KE	UG	1	3	GSG		-11	1290	1610	−4	+3	77	37
1939	03	25	UG	KE	5	2	GSG		4	1614	1286	+1	−1	37	77
1940	03	30	KE	UG	3	6	GSG		-11	1275	1625	−3	+1	81	37
1941	03	29	UG	KE	3	4	GSG		-28	1597	1303	−5	+5	43	76
1942	03	28	KE	UG	4	3	GSG		23	1326	1574	+4	−3	73	44
1943	03	27	UG	KE	2	1	GSG		4	1578	1322	0	−1	45	76
1944	03	25	KE	UG	2	1	GSG		21	1343	1557	+4	−1	73	47
1945	03	30	UG	KE	4	1	GSG		7	1569	1336	0	−2	48	75
1946	09	18	KE	TY	3	0	GSG		10	1346	1185	+1	−1	71	93
1946	09	21	KE	UG	2	1	GSG		20	1366	1549	+2	−2	69	48
1947	09	17	UG	KE	3	2	GSG	TY	8	1557	1358	+1	0	44	75
1948	09	22	KE	ZN	3	1	GSG	UG	5	1363	988	0	−1	77	107
1948	09	25	UG	KE	2	1	GSG		4	1573	1359	+2	0	41	77
1949	12	06	ZN	KE	2	3	GSG		-5	983	1364	0	+1	111	79
1949	12	08	TY	KE	2	0	GSG	ZN	31	1250	1333	+2	−5	99	84
1950	10	11	KE	UG	3	1	GSG		29	1362	1505	+4	−4	78	56
1950	10	14	KE	TY	1	1	GSG		-8	1354	1268	−2	+1	80	96
1950	10	16	KE	TY	1	2	GSG		-22	1332	1290	−3	+4	83	92
1951	09	25	KE	UG	2	1	GSG	TY	22	1354	1483	+5	−4	82	61
1951	09	29	TY	KE	3	2	GSG		13	1305	1341	+4	−2	90	84
1952	09	24	KE	ZN	7	1	GSG	UG	7	1348	964	0	0	84	118
1952	09	27	UG	KE	6	3	GSG		10	1502	1338	+5	0	58	84
1953	09	30	KE	TY	7	1	GSG	ZN	25	1363	1232	+2	−3	83	109
1953	10	03	KE	UG	6	2	GSG	ZN	40	1403	1474	+4	−6	79	62
1954	10	05	KE	ZN	5	0	GSG		3	1406	981	0	0	85	132
1954	10	09	KE	UG	2	2	GSG		-1	1405	1485	0	0	85	66
1954	10	10	KE	UG	1	4	GSG		-28	1377	1513	−4	+6	89	60
1955	10	11	UG	KE	1	0	GSG	TY	9	1522	1368	+1	0	60	88
1955	10	14	KE	ZN	8	0	GSG	TY	7	1375	975	0	0	88	132
1956	11	27	KE	TY	9	0	GSG	UG	22	1397	1199	+3	−2	88	123
1956	12	01	UG	KE	3	2	GSG		7	1523	1390	+1	−2	63	90
1957	09	04	ZN	KE	1	5	GSG		-9	989	1399	−1	+1	137	89
1957	09	07	UG	KE	2	1	GSG	ZN	10	1538	1389	+1	0	57	89
1958	10	05	KE	TY	3	1	GSG		6	1395	1161	+1	0	90	126
1958	10	08	KE	ZN	4	0	GSG		3	1398	1003	+2	0	88	138
1958	10	11	KE	UG	2	0	GSG		25	1423	1504	+6	−4	82	63
1959	00	00	KE	RE	1	0	F		1	1424	1076	−1	−2	84	138
1959	09	27	RE	KE	3	1	TRE	MG	40	1116	1384	+6	−11	132	96
1959	09	30	MG	KE	0	3	TRE		-31	1312	1415	−2	+9	104	87
1959	10	04	KE	UG	0	0	GSG	TY	5	1420	1540	+2	0	85	55
1959	10	07	KE	ZN	5	0	GSG	TY	5	1425	999	+1	0	84	141
1959	10	10	TY	KE	0	2	GSG		-13	1152	1438	0	+2	127	82
1960	10	10	KE	ZN	4	1	GSG	UG	5	1443	1023	+2	0	79	143
1960	10	12	KE	TY	5	0	GSG	UG	9	1452	1140	0	−1	79	134
1960	10	15	UG	KE	1	1	GSG		-4	1451	1456	−1	+2	78	76
1961	08	05	KE	UG	0	1	FQ		-26	1430	1477	−7	+3	84	75
1961	09	23	UG	KE	0	1	FQ		-28	1449	1458	−4	+7	78	76
1961	10	01	KE	TY	0	0	GSG		-12	1446	1167	−2	0	78	131
1961	10	04	KE	ZN	10	0	GSG		3	1449	1001	0	0	77	144
1961	10	07	KE	UG	2	1	GSG		9	1458	1404	+1	−2	76	92
1961	10	29	UG	KE	2	0	FQ		26	1430	1432	+10	−6	83	82
