1911	10	29	LU	FR	1	4	F		-12	1288	1529	−	+1	24	18
1913	04	20	FR	LU	8	0	F		4	1587	1284	0	0	17	26
1914	02	08	LU	FR	5	4	F		16	1300	1584	0	0	26	16
1920	08	28	NL	LU	3	0	OG	BE	3	1916	1297	−1	−3	6	35
1924	05	29	IT	LU	2	0	OG	FR	7	1740	1290	−2	−1	19	52
1927	05	21	LU	EN	2	5	F		-2	1288	1908	0	0	56	7
1928	05	27	BE	LU	5	3	OG	NL	9	1685	1279	0	−1	24	58
1928	06	28	LU	EG	1	1	F		7	1286	1698	+1	0	57	20
1934	03	11	LU	DE	1	9	WQ		-8	1278	1799	−2	+1	70	12
1934	04	15	LU	FR	1	6	WQ		-18	1260	1611	−1	+2	72	33
1934	05	10	BE	LU	4	1	F		3	1549	1257	0	0	42	72
1935	08	18	LU	DE	0	1	F		-1	1256	1888	0	0	73	9
1936	05	09	LU	IE	1	5	F		-7	1249	1629	0	+1	75	31
1936	08	04	DE	LU	9	0	OG		2	1907	1247	0	−1	8	76
1936	09	27	DE	LU	7	2	F		1	1843	1246	0	0	11	78
1937	03	21	LU	DE	2	3	F		-1	1245	1818	0	0	78	13
1937	11	28	NL	LU	4	0	WQ		3	1713	1242	0	−1	19	80
1938	01	16	LU	HU	0	6	F		-1	1241	1926	0	0	82	6
1938	03	13	LU	BE	2	3	WQ		-10	1231	1536	0	0	85	47
1938	03	20	DE	LU	2	1	F		0	1862	1231	0	0	9	85
1939	03	26	LU	DE	2	1	F		19	1250	1767	+1	0	84	14
1940	03	31	NL	LU	4	5	F		-19	1650	1269	−4	+3	31	82
1945	05	13	LU	BE	4	1	F		25	1294	1504	+7	−3	80	53
1946	02	23	BE	LU	7	0	F		6	1530	1288	0	−2	50	81
1946	03	10	LU	NL	2	6	F		-7	1281	1664	−3	+5	83	27
1946	07	28	LU	NO	3	2	F		16	1297	1615	+4	−1	79	40
1946	10	30	LU	HU	2	7	F		-2	1295	1892	0	0	80	8
1947	05	24	LU	SQ	0	6	F		-2	1293	1949	0	0	83	5
1948	07	26	LU	AF	6	0	OG	EN	14	1307	915	+2	0	84	107
1948	07	31	YU	LU	6	1	OG	EN	10	1740	1297	−1	−2	18	86
1949	03	23	CS	LU	2	2	F		-9	1729	1306	−1	+3	20	83
1949	06	26	CH	LU	5	2	WQ		3	1740	1303	0	−2	17	84
