1931	02	09	BB	MQ	1	2	F		-9	1351	1509	−1	−	56	39
1931	02	11	BB	MQ	3	2	F		12	1363	1497	0	−2	56	41
1931	02	12	BB	MQ	0	0	F		1	1364	1496	0	−2	56	43
1932	00	00	DM	MQ	1	0	F		13	1313	1483	−	−1	60	47
1934	00	00	GP	MQ	0	6	F		-28	1472	1511	−	+5	51	45
1936	01	00	MQ	LC	4	0	F		5	1516	1295	0	−	47	67
1936	01	00	MQ	LC	2	2	F		-7	1509	1302	0	−	47	67
1939	01	12	DM	MQ	3	1	F		19	1330	1490	+5	−3	69	53
1941	00	00	GP	MQ	1	2	F		-12	1460	1502	0	+2	56	52
1941	09	07	MQ	GP	5	0	F		12	1514	1448	+1	−1	53	59
1948	09	00	MQ	DM	5	0	CIQ		13	1527	1317	+1	−1	53	81
1948	12	16	MQ	DM	6	0	CIB	GP	20	1547	1297	+4	−4	50	86
1948	12	18	MQ	UM	4	3	CIB	GP	18	1565	1486	+6	−1	44	58
1948	12	20	GP	MQ	3	0	CIB		34	1506	1531	+3	−9	56	53
1949	07	01	MQ	TT	2	0	F		10	1541	1495	+1	−3	52	59
1951	03	00	MQ	GP	3	0	F		10	1551	1479	+4	0	46	60
1951	05	00	GP	MQ	1	1	F		-1	1478	1552	0	0	61	49
1952	03	00	GP	MQ	4	0	F		18	1481	1534	+2	−5	62	54
1952	03	00	MQ	GP	1	2	F		-14	1520	1495	−5	+2	54	62
1953	04	00	MQ	GP	4	3	F		7	1527	1488	+1	−1	53	62
1953	05	00	GP	MQ	0	2	F		-18	1470	1545	−2	+3	64	50
1954	04	00	MQ	GP	2	2	F		-5	1540	1475	0	+1	53	68
1954	05	00	GP	MQ	4	2	F		13	1488	1527	+5	−2	63	56
1955	03	00	GP	MQ	1	4	F		-21	1467	1548	−5	+3	71	55
1955	05	00	MQ	GP	1	1	F		-5	1543	1472	−1	+2	55	69
1956	01	13	CW	MQ	3	1	F		11	1554	1532	+2	−5	52	59
1956	01	15	CW	MQ	3	1	F		10	1564	1522	+5	−4	47	63
