1998	07	30	GU	MP	2	1	MNG	PW	17	664	583	0	−	214	220
1998	07	31	PW	MP	1	12	MNG		-58	442	641	−	+4	225	216
1998	08	03	MP	GU	3	0	MNG	PW	41	682	663	+2	−3	214	215
1999	07	12	FM	MP	7	0	MNC		46	618	636	+4	−2	219	218
2007	03	25	MP	GU	2	3	EQM		-31	605	563	0	+3	223	229
2007	04	01	GU	MP	9	0	EQM		42	605	563	+6	−6	223	229
2008	04	27	MP	GU	2	3	MRN		-20	543	569	−1	+2	230	228
2009	03	11	MO	MP	6	1	EAQ	GU	21	745	522	0	−2	212	232
2009	03	13	GU	MP	2	1	EQM		11	607	511	0	0	224	232
2009	03	15	MN	MP	4	1	EAQ	GU	12	800	499	+1	0	208	232
2010	06	19	MP	GU	1	1	MRN		0	499	600	0	0	232	224
2012	07	18	GU	MP	3	1	EAQ		14	627	485	0	−1	228	238
2012	07	20	MO	MP	5	1	EAQ	GU	20	682	465	+3	0	222	238
2012	11	24	GU	MP	8	0	F		7	681	458	+2	0	221	238
2013	03	02	NP	MP	6	0	SCQ		3	909	455	0	0	200	238
2013	03	04	PS	MP	9	0	SCQ	NP	1	1329	454	0	0	128	238
2013	03	06	BD	MP	4	0	SCQ	NP	3	992	451	+1	0	191	238
2014	07	21	MN	MP	4	0	EAQ	GU	10	792	441	+1	0	209	238
2014	07	23	MP	MO	2	1	EAQ	GU	30	471	601	0	−3	238	230
2014	07	25	GU	MP	5	0	EAQ		8	764	463	+2	0	211	238
2016	06	30	TW	MP	8	1	EAQ	GU	14	774	449	+2	−1	210	241
2016	07	02	MO	MP	3	1	EAQ	GU	16	643	433	+1	0	228	241
2016	07	04	MN	MP	8	0	EAQ	GU	21	672	412	+1	−1	225	242
2018	09	02	GU	MP	4	0	EAQ	MN	6	840	406	+1	0	206	242
2018	09	04	MN	MP	9	0	EAQ		10	697	396	+2	−1	220	243
2018	09	06	MO	MP	1	1	EAQ	MN	-14	677	410	−2	+1	224	242
2022	02	19	GU	MP	2	0	F		3	705	407	0	0	217	242
2022	02	22	GU	MP	3	2	F		2	707	405	0	0	217	242
2023	11	18	FJ	MP	10	0	PG	SB	1	1196	404	0	0	161	242
2023	11	24	TI	MP	5	0	PG	SB	1	1153	403	0	0	164	242
2023	11	27	MP	AS	4	0	PG	SB	42	445	404	+2	−2	240	242
2023	11	30	TV	MP	4	1	PG	SB	11	756	434	0	0	214	240
2024	04	06	MP	GU	2	2	F		4	438	696	0	−1	240	219
2024	04	07	MP	GU	2	1	F		14	452	682	0	−3	240	222
2024	12	21	MP	GU	1	2	F		-6	446	700	0	+2	240	218
2024	12	22	MP	GU	0	8	F		-14	432	714	0	0	240	218
