1951	04	04	WG	SP	7	1	F		4	1916	1596	0	−	8	39
1952	10	19	SP	WG	3	4	F		-5	1591	1909	−2	0	41	7
1953	06	24	NO	SP	2	3	WQ		-27	1598	1618	−6	+5	41	37
1953	10	11	WG	SP	3	0	WQ		7	1920	1611	0	0	8	39
1953	11	08	SP	NO	0	0	WQ		-4	1607	1641	0	+3	39	31
1954	03	28	SP	WG	1	3	WQ		-13	1594	1941	−3	+1	44	6
1954	06	05	SP	UY	1	7	F		-12	1582	1877	−2	+1	47	10
1954	09	26	SP	YU	1	5	F		-7	1575	1931	−1	+1	47	8
1955	11	16	SP	NL	1	2	F		-12	1563	1608	−3	+2	49	41
1956	03	07	WG	SP	4	1	F		2	1987	1561	0	0	4	50
1956	05	01	SP	CH	1	1	F		1	1562	1702	0	0	50	25
1956	06	06	NL	SP	3	2	F		6	1627	1556	0	−3	40	53
1958	09	17	NL	SP	3	3	F		-6	1673	1562	0	−	34	−
1959	09	23	NL	SP	4	1	F		7	1710	1555	0	−	32	−
1960	09	21	NL	SP	3	1	F		6	1707	1549	+3	−	28	−
1961	09	20	NL	SP	5	0	F		8	1711	1541	+3	−	25	−
1969	10	28	LU	SP	0	3	F		-11	1299	1552	−3	−	113	−
1970	04	09	SP	LU	3	1	F		4	1556	1297	−	−1	−	114
1976	02	25	LU	SP	1	1	F		4	1299	1552	+1	−	115	−
1976	09	08	SP	LU	4	0	F		4	1556	1287	−	−2	−	116
1978	09	20	LU	SP	1	0	F		15	1263	1541	+5	−	119	−
