1963	11	14	KP	SO	14	0	GNF	ID	5	1711	1195	+2	−	27	132
1969	01	05	ET	SO	7	0	EAC		4	1585	1191	0	0	53	138
1969	01	07	UG	SO	7	1	EAC	ET	18	1376	1173	+2	−3	101	141
1972	01	18	SO	CN	1	3	F		-4	1169	1609	0	+1	140	48
1972	11	24	EG	SO	4	2	AGQ		1	1732	1168	0	0	27	141
1972	11	28	KE	SO	2	2	AGQ	EG	-12	1406	1180	−2	+1	88	140
1972	11	30	UG	SO	5	2	AGQ	EG	10	1499	1170	+2	−1	64	141
1973	03	10	SO	UG	2	0	FQ		48	1218	1466	+8	−8	132	70
1973	03	24	UG	SO	5	0	FQ		10	1476	1208	+4	−1	65	133
1973	06	17	CN	SO	7	4	F		2	1638	1206	0	0	41	133
1973	09	22	UG	SO	6	1	CEC		7	1533	1199	+1	−1	61	134
1973	09	24	ZM	SO	6	1	CEC	UG	10	1540	1189	+3	−3	59	137
1974	01	08	TZ	SO	5	2	RVC		7	1422	1182	+1	−1	87	138
1974	01	09	UG	SO	1	0	RVC	TZ	3	1568	1179	0	0	54	138
1974	08	10	SO	BI	0	2	FQ		-31	1148	1297	−4	+10	142	116
1974	08	24	BI	SO	0	1	FQ		-32	1265	1180	−10	+4	126	138
1974	09	10	LY	SO	3	2	RVA		4	1395	1176	0	0	95	138
1974	11	03	ZN	SO	2	1	CEC	TZ	29	1029	1147	+3	−3	158	141
1974	11	04	SO	UG	1	1	CEC	TZ	16	1163	1517	+2	−4	139	64
1976	11	06	UG	SO	2	0	CEC	ZN	8	1490	1155	+5	−1	68	141
1976	11	08	ZM	SO	4	2	CEC	ZN	6	1549	1149	+1	−1	56	142
1976	11	10	ZN	SO	1	0	CEC		23	1025	1126	+3	−4	160	146
1976	11	16	ZN	SO	1	1	F		0	1025	1126	0	0	160	146
1977	11	12	EG	SO	4	0	AGQ		2	1654	1124	0	−1	39	147
1977	11	14	SD	SO	2	0	AGQ	EG	5	1541	1119	0	0	59	147
1977	11	25	SO	KE	0	1	CEC		-10	1109	1411	−1	+3	148	90
1977	11	30	SO	ZN	1	0	CEC		12	1121	1060	+1	−1	147	156
1977	12	03	SO	UG	1	1	CEC		13	1134	1489	+3	−2	144	68
1978	11	03	MW	SO	3	1	CEC		6	1434	1128	+2	−1	83	143
1978	11	09	ZM	SO	4	0	CEC	MW	5	1593	1123	0	0	51	143
1978	11	11	KE	SO	1	0	CEC	MW	9	1348	1114	+2	−4	104	147
1978	11	13	SO	UG	2	2	CEC	MW	18	1132	1590	+4	−5	143	50
1980	07	16	NE	SO	0	0	WQ		-8	1166	1140	0	0	140	145
1980	07	27	SO	NE	1	1	WQ		-4	1136	1170	0	0	145	140
1980	11	17	SO	TZ	1	1	CEC	SD	15	1151	1463	+2	−5	143	81
1980	11	20	SD	SO	2	0	CEC		6	1424	1145	0	−2	88	145
1981	05	12	TN	SO	6	0	F		1	1668	1144	0	0	37	144
1982	09	19	SO	RW	0	1	FQ		-30	1114	1094	−6	+4	150	153
1983	11	14	SO	ZN	1	1	CEC	KE	-1	1113	1102	0	0	148	151
