1926	05	01	KE	UG	1	1	GSG		8	1308	1592	−	−	54	29
1926	05	03	KE	UG	2	1	GSG		22	1330	1570	0	−4	54	33
1928	05	06	UG	KE	4	0	GSG		7	1577	1323	+2	0	33	54
1929	12	14	KE	UG	3	5	GSG		-13	1310	1590	0	+1	57	30
1930	00	00	KE	UG	0	0	F		5	1315	1585	0	0	57	30
1930	08	19	UG	KE	5	0	GSG		6	1591	1309	+1	−1	31	59
1931	12	16	KE	UG	2	2	GSG		7	1316	1584	+1	−1	59	33
1931	12	17	KE	UG	2	1	GSG		22	1338	1562	0	−2	59	35
1932	12	14	UG	KE	13	1	GSG		12	1574	1326	+3	0	35	60
1935	05	06	UG	KE	5	1	GSG		7	1581	1319	0	0	40	63
1936	03	28	KE	UG	1	3	GSG		-13	1306	1594	−2	+2	65	37
1937	04	03	UG	KE	9	5	GSG		5	1599	1301	0	−1	37	69
1938	03	26	KE	UG	1	3	GSG		-11	1290	1610	−4	+3	77	37
1939	03	25	UG	KE	5	2	GSG		4	1614	1286	+1	−1	37	77
1940	03	30	KE	UG	3	6	GSG		-11	1275	1625	−3	+1	81	37
1941	03	29	UG	KE	3	4	GSG		-28	1597	1303	−5	+5	43	76
1942	03	28	KE	UG	4	3	GSG		23	1326	1574	+4	−3	73	44
1943	03	27	UG	KE	2	1	GSG		4	1578	1322	0	−1	45	76
1944	03	25	KE	UG	2	1	GSG		21	1343	1557	+4	−1	73	47
1945	03	28	UG	TY	7	0	GSG		5	1562	1195	0	−	48	93
1945	03	30	UG	KE	4	1	GSG		7	1569	1336	0	−2	48	75
1946	09	21	KE	UG	2	1	GSG		20	1366	1549	+2	−2	69	48
1947	09	17	UG	KE	3	2	GSG	TY	8	1557	1358	+1	0	44	75
1947	09	20	TY	UG	2	4	GSG		-8	1184	1565	0	+1	96	43
1948	09	23	UG	TY	6	0	GSG		4	1569	1180	+1	0	43	101
1948	09	25	UG	KE	2	1	GSG		4	1573	1359	+2	0	41	77
1949	12	05	TY	UG	3	3	GSG	ZN	12	1192	1561	0	−3	104	46
1949	12	07	TY	UG	1	0	GSG	ZN	27	1219	1534	+3	−6	101	52
1950	10	11	KE	UG	3	1	GSG		29	1362	1505	+4	−4	78	56
1951	09	25	KE	UG	2	1	GSG	TY	22	1354	1483	+5	−4	82	61
1952	09	23	UG	TY	4	0	GSG		9	1492	1296	0	−4	63	95
1952	09	27	UG	KE	6	3	GSG		10	1502	1338	+5	0	58	84
1953	09	19	UG	RB	9	1	F		7	1509	1293	+1	−	56	97
1953	09	29	ZN	UG	1	5	GSG		-5	998	1514	0	0	123	56
1953	10	03	KE	UG	6	2	GSG	ZN	40	1403	1474	+4	−6	79	62
1954	10	06	UG	TY	5	3	GSG	KE	10	1484	1236	+5	−1	66	116
1954	10	09	KE	UG	2	2	GSG		-1	1405	1485	0	0	85	66
1954	10	10	KE	UG	1	4	GSG		-28	1377	1513	−4	+6	89	60
1955	10	11	UG	KE	1	0	GSG	TY	9	1522	1368	+1	0	60	88
1955	10	15	TY	UG	1	5	GSG		-14	1221	1536	0	+1	116	59
1956	10	06	MT	UG	4	0	F		21	1421	1515	−	−4	82	63
1956	11	28	UG	ZN	5	2	GSG		1	1516	974	0	0	64	137
1956	12	01	UG	KE	3	2	GSG		7	1523	1390	+1	−2	63	90
1957	09	03	UG	TY	4	2	GSG	ZN	5	1528	1170	0	+1	58	124
1957	09	07	UG	KE	2	1	GSG	ZN	10	1538	1389	+1	0	57	89
1958	10	04	UG	ZN	1	1	GSG	KE	-14	1524	1006	−2	+1	59	138
1958	10	07	UG	TY	2	0	GSG	KE	5	1529	1156	0	0	59	126
1958	10	11	KE	UG	2	0	GSG		25	1423	1504	+6	−4	82	63
1959	00	00	ZD	UG	2	7	TFT		-41	1497	1545	−13	+8	71	58
1959	10	04	KE	UG	0	0	GSG	TY	5	1420	1540	+2	0	85	55
1959	10	06	TY	UG	2	2	GSG		10	1165	1530	0	−3	127	58
1959	10	09	ZN	UG	1	0	GSG	TY	29	1028	1501	+1	−11	140	69
1959	11	14	UG	ET	1	2	OQ		-30	1471	1437	−8	+7	76	83
1959	12	09	SD	UG	1	0	OQ		8	1625	1463	+1	−3	42	79
1959	12	13	ET	UG	1	1	OQ		-4	1422	1467	−3	+2	88	76
1960	01	03	UG	SD	0	1	OQ		-17	1450	1636	−1	+3	77	39
1960	10	08	UG	TY	1	0	GSG		3	1453	1149	0	−1	78	133
1960	10	11	UG	ZN	3	0	GSG		2	1455	1021	0	0	78	143
1960	10	15	UG	KE	1	1	GSG		-4	1451	1456	−1	+2	78	76
1961	08	05	KE	UG	0	1	FQ		-26	1430	1477	−7	+3	84	75
1961	09	23	UG	KE	0	1	FQ		-28	1449	1458	−4	+7	78	76
1961	09	30	UG	ZN	2	1	GSG	KE	2	1451	1004	0	0	78	144
1961	10	03	TY	UG	3	1	GSG	KE	38	1205	1413	+4	−13	127	90
