1966	12	11	TI	WF	5	0	SPG	NC	1	1404	699	0	−	96	169
1966	12	13	PG	WF	9	1	SPG	NC	10	1086	689	+1	0	152	169
1979	08	29	SB	WF	6	0	SPG	FJ	6	1142	683	+2	−2	141	183
1979	09	01	WF	WM	3	1	SPG	FJ	31	714	661	+3	−4	182	187
1979	09	03	FJ	WF	5	0	SPG		5	1104	709	+1	0	149	182
1979	09	05	TO	WF	1	0	SPG	FJ	22	699	687	+3	−2	182	184
1983	08	20	WF	TO	3	0	SPG	WM	36	723	656	+2	−3	185	189
1983	08	22	AS	WF	3	0	SPG	WM	49	628	674	+3	−3	190	188
1983	08	24	WM	WF	1	2	SPG		-23	605	697	−2	+3	192	185
1983	09	00	NC	WF	4	0	SPG	WM	2	1314	695	−8	0	103	185
1987	12	09	VU	WF	6	1	SPG	NC	10	1042	685	+3	0	161	188
1987	12	10	TI	WF	4	0	SPG	NC	0	1565	685	0	0	59	188
1987	12	12	WF	AS	5	1	SPG	NC	29	714	573	+1	−2	187	197
1987	12	15	NC	WF	5	1	SPG		1	1322	713	0	0	101	187
1987	12	17	PG	WF	2	0	SPG	NC	4	1181	709	+1	−1	141	188
1991	09	09	VU	WF	4	0	SPG	PG	9	1058	700	0	0	171	197
1991	09	11	SB	WF	5	0	SPG	PG	6	1141	694	0	0	156	197
1991	09	13	PG	WF	5	0	SPG		4	1090	690	0	0	166	197
1991	09	17	TI	WF	5	0	SPG	PG	1	1493	689	0	0	69	197
1991	09	18	WF	GU	5	0	SPG	PG	45	734	691	+2	−2	195	197
1995	08	16	SB	WF	12	1	SPG	TI	5	1287	729	+1	0	136	209
1995	08	17	TI	WF	13	0	SPG		1	1531	728	0	0	72	209
1995	08	19	CK	WF	2	1	SPG	TI	23	696	705	+2	0	210	209
1995	08	20	NC	WF	10	0	SPG	TI	6	1212	699	+1	0	150	209
