1931	05	00	ND	ZD	0	0	EIE	BC	-5	1595	1493	−	+2	31	44
1931	05	00	ND	ZD	3	3	FT	BC	-4	1591	1497	−	+2	31	44
1946	00	00	ZD	ND	0	4	F		-19	1478	1610	−1	+1	57	41
1947	00	00	ND	ZD	2	2	F		-6	1604	1484	0	0	40	56
1948	00	00	BC	ND	2	3	F		-13	1587	1617	−	0	40	39
1948	00	00	ZD	ND	4	0	F		21	1505	1596	+1	0	54	39
1949	12	00	ZA	ND	3	2	F		4	1730	1592	+1	−2	19	39
1950	00	00	ND	ZD	3	2	F		5	1597	1500	+2	−1	37	57
1950	03	00	ND	BC	1	0	F		7	1604	1580	+1	−3	36	42
1951	11	30	ZD	ND	2	1	F		11	1488	1593	+2	−3	61	41
1952	00	00	ND	ZD	1	4	F		-27	1566	1515	−6	+6	47	55
1952	11	30	ND	ZD	3	2	F		6	1572	1509	0	−1	44	56
1953	07	12	ND	ZD	2	1	LVY		8	1580	1501	+1	−3	44	58
1953	08	01	ND	ZD	0	1	RCT		-22	1558	1523	−3	+3	47	55
1954	05	03	ND	IL	0	0	F		-6	1552	1417	−1	+1	54	83
1954	05	22	ZD	ND	2	4	CRR		-26	1486	1578	−5	+6	65	48
1954	05	23	ZD	ND	1	0	LVY		15	1501	1563	+4	−3	61	51
1955	05	07	ND	ZD	3	4	CRR		-22	1541	1523	−7	+3	56	60
1955	05	08	ND	ZD	0	2	LVY		-30	1511	1553	−6	+7	62	53
1956	00	00	ND	ZA	4	0	F		29	1540	1783	+8	−2	57	15
1957	00	00	NN	ND	0	5	F		-8	1192	1548	−	+1	122	56
1958	00	00	ZD	ND	4	2	LVY		16	1569	1532	−2	+4	58	54
1958	00	00	ZD	ND	0	2	LVY		-31	1538	1563	−2	+4	58	54
1961	07	12	CB	ND	3	1	ETF	CJ	24	1562	1539	+5	−5	53	58
1961	09	01	ZD	ND	5	0	LVY		25	1522	1514	+7	−8	62	66
1961	09	02	ZD	ND	2	4	LVY		-29	1493	1543	−8	+8	70	58
1962	09	01	ND	ZD	1	1	LVY		-6	1537	1499	−3	0	61	70
1962	09	03	ND	ZD	4	1	LVY		16	1553	1483	+7	−4	54	74
1963	07	06	ND	NN	5	1	F		2	1555	1169	0	0	58	134
1963	10	19	ND	KE	0	1	F		-16	1539	1417	−2	+5	60	88
1964	07	03	ND	TY	3	0	IPC	NN	7	1546	1200	+1	−1	59	131
1964	07	04	NN	ND	0	5	IPC		-10	1164	1556	0	+1	136	58
1964	07	20	ND	MW	4	1	F		2	1558	1162	0	0	58	136
1964	10	20	ND	UG	0	2	IND		-38	1520	1392	−15	+8	69	98
1964	10	23	ND	KE	2	3	IND		-25	1495	1379	−4	+4	73	103
1964	12	11	KE	ZM	4	2	IPC		24	1403	1471	+11	−2	92	76
1964	12	13	KE	ZM	2	8	IPC		-35	1368	1506	−13	+4	105	72
1965	09	12	ZM	KE	3	3	FT		-8	1498	1413	−1	+2	71	90
1965	09	14	ZM	KE	2	3	FT		-22	1476	1435	−6	+6	77	84
1965	09	19	ZM	KE	3	2	FT		9	1485	1426	+3	−4	74	88
1965	10	09	UG	ZM	2	2	IND		1	1357	1484	0	0	105	74
1966	07	01	ZM	MW	4	1	F		3	1487	1159	+1	0	72	140
1966	07	04	MW	ZM	0	3	IND		-11	1148	1498	−1	+5	141	67
1966	07	05	ZM	MG	3	0	IND	MW	15	1513	1319	+3	−2	64	112
1966	07	06	MW	ZM	0	6	IND		-11	1137	1524	−2	+3	143	61
1966	07	08	MW	ZM	1	5	IND		-8	1106	1532	−1	+2	147	59
1966	09	06	ZM	KE	0	1	FT		-23	1509	1454	−4	+4	64	83
1966	09	09	ZM	KE	2	1	FT		9	1518	1445	+1	−2	63	85
1966	09	13	ZM	KE	5	4	FT		8	1526	1437	+1	−1	62	86
1967	06	22	UG	ZM	1	3	HRS		-18	1333	1544	−1	+4	106	59
1967	07	00	ZM	MG	2	0	IND	MW	13	1557	1372	+6	−3	53	101
1967	07	06	TZ	ZM	2	2	SBA		9	1217	1548	+2	−4	131	57
1967	07	08	TZ	ZM	2	1	SBA		24	1241	1524	+4	−6	127	63
1967	12	17	KE	ZM	1	5	IND		-32	1440	1556	−8	+7	82	57
1967	12	19	KE	ZM	3	4	IND		-14	1426	1570	−5	0	87	57
1968	06	29	ZM	UG	2	1	HRS		3	1573	1309	0	0	58	113
1968	06	30	ZM	UG	1	1	HRS		-12	1561	1321	−1	+2	59	111
1968	07	02	ZM	UG	2	1	HRS		4	1565	1317	+1	−1	58	112
1968	07	04	ZM	UG	2	2	HRS		-11	1554	1328	−2	+3	60	109
1968	10	09	UG	ZM	2	3	IND		-11	1353	1565	−1	+2	104	58
1968	10	12	UG	ZM	1	1	IND		5	1358	1560	0	−2	104	60
1968	10	13	KE	ZM	2	1	F		12	1405	1548	+2	−1	92	61
1968	10	24	ZM	TZ	7	1	IND		4	1552	1180	0	0	59	139
