1929	06	27	ZD	EN	0	4	F		-6	1494	1892	−	0	44	9
1929	06	29	ZD	EN	1	6	F		-6	1488	1898	−1	0	45	9
1931	05	00	ND	ZD	0	0	EIE	BC	-5	1595	1493	−	+2	31	44
1931	05	00	ND	ZD	3	3	FT	BC	-4	1591	1497	−	+2	31	44
1946	00	00	ZD	ND	0	4	F		-19	1478	1610	−1	+2	57	40
1947	00	00	ND	ZD	2	2	F		-6	1604	1484	−1	0	40	56
1948	00	00	ZD	ND	4	0	F		21	1505	1596	+1	0	54	39
1950	00	00	ND	ZD	3	2	F		5	1598	1500	+2	−1	37	57
1950	06	14	ZD	AU	0	5	F		-13	1487	1747	−2	+1	60	17
1950	06	17	ZD	AU	1	4	F		-10	1477	1757	−1	+1	61	16
1951	11	30	ZD	ND	2	1	F		11	1488	1594	+2	−3	61	41
1952	00	00	ND	ZD	1	4	F		-27	1567	1515	−6	+6	47	55
1952	11	30	ND	ZD	3	2	F		6	1573	1509	0	−1	44	56
1953	07	12	ND	ZD	2	1	LVY		8	1581	1501	+1	−3	44	58
1953	08	01	ND	ZD	0	1	RCT		-22	1559	1523	−3	+3	47	55
1954	05	05	ZD	IL	2	1	F		5	1528	1412	+3	−1	57	84
1954	05	09	ZD	IL	1	2	F		-16	1512	1428	−3	+3	60	81
1954	05	22	ZD	ND	2	4	CRR		-26	1486	1579	−5	+6	65	47
1954	05	23	ZD	ND	1	0	LVY		15	1501	1564	+4	−3	61	50
1955	05	07	ND	ZD	3	4	CRR		-22	1542	1523	−7	+4	56	59
1955	05	08	ND	ZD	0	2	LVY		-30	1512	1553	−5	+7	61	52
1958	00	00	ZD	ND	4	2	LVY		16	1569	1534	−3	+3	58	54
1958	00	00	ZD	ND	0	2	LVY		-31	1538	1565	−3	+3	58	54
1959	00	00	ZD	UG	2	7	TFT		-41	1497	1545	−13	+9	71	58
1961	09	01	ZD	ND	5	0	LVY		25	1522	1516	+6	−7	63	65
1961	09	02	ZD	ND	2	4	LVY		-29	1493	1545	−7	+7	70	58
1962	09	01	ND	ZD	1	1	LVY		-6	1539	1499	−2	0	60	70
1962	09	03	ND	ZD	4	1	LVY		16	1555	1483	+6	−5	54	75
1963	10	06	MU	ZD	1	0	F		6	1543	1477	+1	−2	60	74
1963	10	10	MU	ZD	2	0	F		8	1551	1469	+1	−2	59	76
1963	10	13	MU	ZD	3	1	F		8	1559	1461	+2	−2	56	78
1964	06	21	NN	ZD	2	2	F		5	1174	1456	0	−1	136	80
1967	03	25	MW	RH	3	6	F		-6	1093	1462	−1	+2	151	78
1967	11	11	RH	MW	1	1	F		-9	1453	1102	−3	+2	80	149
1967	11	12	RH	MW	1	0	F		1	1454	1101	+1	0	79	149
1967	11	25	RH	MU	1	2	F		-11	1443	1524	−3	+1	81	64
1967	11	26	RH	MU	2	3	F		-11	1432	1535	−5	+1	86	63
1969	01	31	MW	RH	0	0	F		5	1127	1427	0	−1	148	86
1969	02	01	MW	RH	2	2	F		5	1132	1422	+1	−1	147	87
1969	02	02	MW	RH	0	1	F		-5	1127	1427	−1	+1	148	86
1969	02	08	RH	MW	4	0	F		3	1430	1124	0	0	86	148
1969	02	09	RH	MW	1	1	F		-8	1422	1132	−1	+1	87	147
1969	05	04	RH	MW	4	1	F		3	1425	1129	+1	0	86	147
1969	11	23	AU	RH	1	1	WQ	MZ	-11	1622	1436	−2	+3	44	85
1969	11	27	AU	RH	0	0	WQ	MZ	-10	1612	1446	−4	+4	48	81
1969	11	29	AU	RH	3	1	WQ	MZ	17	1629	1429	+4	−5	44	86
1969	12	01	MW	RH	2	2	F		5	1142	1424	+1	−1	144	87
1977	04	09	ZA	RH	7	0	F		3	1791	1421	0	0	21	90
1977	07	03	RH	ZA	1	1	F		7	1428	1784	+1	0	88	22
1980	04	20	ZW	MZ	6	0	IND		17	1445	1330	+5	−5	81	103
1980	04	21	ZW	ZM	2	1	IND		16	1461	1556	+1	−1	80	56
1980	06	07	ZM	ZW	2	1	F		5	1568	1456	0	0	55	81
1980	06	08	ZM	ZW	1	3	F		-23	1545	1479	−7	+5	62	76
1980	07	01	MZ	ZW	3	1	F		18	1332	1461	+4	−6	103	81
1980	07	06	MW	ZW	0	1	IND		-22	1519	1483	−4	+9	65	72
1980	07	08	MW	ZW	1	1	IND		-6	1513	1489	−1	+1	66	71
1980	08	30	ZW	ZM	1	1	F		-2	1487	1518	−1	0	74	63
1980	08	31	ZW	ZM	1	2	F		-12	1475	1530	−2	+2	76	61
1980	10	12	CM	ZW	2	0	WQ		14	1598	1461	0	−4	50	79
1980	10	26	MW	ZW	0	1	FQ		-28	1483	1489	−8	+6	77	74
1980	11	09	ZW	MW	1	1	FQ		-6	1483	1489	−2	+3	76	73
1980	11	16	ZW	CM	1	0	WQ		21	1504	1577	+7	−6	69	53
1981	04	11	ZW	ZM	0	1	FQ		-26	1478	1521	−4	+5	74	66
1981	04	19	ZW	MZ	6	1	IND		12	1490	1321	+3	−1	71	106
1981	04	20	ZW	MW	4	0	IND		22	1512	1486	+4	−4	67	73
1981	04	25	ZM	ZW	2	0	FQ		22	1532	1490	+6	−3	62	70
1981	06	21	MZ	ZW	0	0	IND		3	1324	1487	+1	−1	105	73
1981	06	25	MG	ZW	2	0	IND	MZ	28	1435	1459	+7	−4	82	77
1981	06	27	AO	ZW	1	1	IND	MZ	-2	1493	1461	0	0	72	77
1981	07	08	ZW	MZ	4	2	IND	MW	12	1473	1279	+1	−3	77	116
1981	07	10	MW	ZW	2	0	IND		14	1522	1459	+4	−1	65	78
1981	08	01	ZW	NG	2	0	F		19	1478	1625	+2	−3	76	44
1981	09	04	ZW	MW	2	1	IND	SZ	17	1495	1505	+4	−4	72	70
1981	09	05	SZ	ZW	0	2	IND		-7	1098	1502	0	+1	151	71
1981	09	06	ZW	LS	5	2	IND	SZ	7	1509	1172	+3	−1	68	140
1981	09	30	BW	ZW	0	1	IND		-3	1038	1512	0	+1	161	68
1981	11	17	SD	ZW	0	0	CEC	TZ	4	1451	1508	0	−1	83	68
1981	11	19	ZM	ZW	1	1	CEC	TZ	-3	1551	1511	−1	+1	57	67
1981	11	20	UG	ZW	0	0	CEC	TZ	1	1487	1510	0	0	75	67
1982	06	06	ZW	UG	2	1	F		5	1515	1434	+3	0	64	86
1982	06	13	ZW	UG	1	1	F		-5	1510	1439	−3	0	67	86
1982	06	27	MZ	ZW	1	1	IND		5	1305	1505	+3	−1	108	68
1982	07	18	ZW	RE	1	1	F		-9	1496	1115	−1	+2	69	150
