WRL	0	WR			World
T	0				
I	1				2026_World_Cup
WC	2				2026_World_Cup
WC	3	2026	2026-06-10	2026-07-19	2026_World_Cup
WQT	4	Q	2023-09-06	2026-03-31	2026_World_Cup_qualifying
ACQ	5	SC	2023-10-11	2025-11-18	2026_World_Cup_AFC_qualifying
CFQ	5	FF	2023-11-14	2025-11-16	2026_World_Cup_CAF_qualifying
NCQ	5	NC	2024-03-21	2025-11-18	2026_World_Cup_CONCACAF_qualifying
MBQ	5	MB	2023-09-06	2025-09-09	2026_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	2024-09-05	2025-03-24	2026_World_Cup_OFC_qualifying
UEQ	5	UE	2025-03-20	2026-03-31	2026_World_Cup_UEFA_qualifying
WQP	5	P	2026-03-25	2026-03-31	2026_World_Cup_qualifying_playoffs
WC	3	2022	2022-11-19	2022-12-18	2022_World_Cup
WQT	4	Q	2019-06-05	2022-06-14	2022_World_Cup_qualifying
ACQ	5	SC	2019-06-05	2022-06-07	2022_World_Cup_AFC_qualifying
CFQ	5	FF	2019-09-03	2022-03-29	2022_World_Cup_CAF_qualifying
NCQ	5	NC	2021-03-23	2022-03-30	2022_World_Cup_CONCACAF_qualifying
MBQ	5	MB	2020-10-07	2022-03-29	2022_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	2022-03-16	2022-03-30	2022_World_Cup_OFC_qualifying
UEQ	5	UE	2021-03-23	2022-06-05	2022_World_Cup_UEFA_qualifying
WQP	5	P	2022-06-12	2022-06-14	2022_World_Cup_qualifying_playoffs
WC	3	2018	2018-06-13	2018-07-15	2018_World_Cup
WQT	4	Q	2015-03-11	2017-11-15	2018_World_Cup_qualifying
ACQ	5	SC	2015-03-11	2017-10-10	2018_World_Cup_AFC_qualifying
CFQ	5	FF	2015-10-06	2017-11-14	2018_World_Cup_CAF_qualifying
NCQ	5	NC	2015-03-21	2017-10-10	2018_World_Cup_CONCACAF_qualifying
MBQ	5	MB	2015-10-07	2017-10-10	2018_World_Cup_CONMEBOL_qualifying
OFQ	5	OF	2015-08-30	2017-09-05	2018_World_Cup_OFC_qualifying
UEQ	5	UE	2016-09-03	2017-11-14	2018_World_Cup_UEFA_qualifying
WQP	5	P	2017-11-09	2017-11-15	2018_World_Cup_qualifying_playoffs
WC	3	2014	2014-06-11	2014-07-13	2014_World_Cup
